clazz,round0,round1,round2,round3,round4,round5,avg.
com.google.common.jimfs.JimfsFileChannel,0.1056,0.0826,0.0999,0.0941,0.0885,0.0884,0.0932
com.google.common.jimfs.FileSystemView,0.0835,0.0891,0.0952,0.0893,0.0834,0.0890,0.0882
com.google.common.jimfs.RegularFile,0.0839,0.0895,0.0901,0.0785,0.0901,0.0838,0.0860
com.google.common.jimfs.JimfsPath,0.0710,0.0703,0.0703,0.0707,0.0706,0.0705,0.0706
com.google.common.jimfs.AbstractWatchService$Key,0.0594,0.0593,0.0593,0.0593,0.0592,0.0592,0.0593
com.google.common.jimfs.Directory,0.0412,0.0490,0.0501,0.0488,0.0485,0.0484,0.0477
com.google.common.jimfs.File,0.0275,0.0276,0.0275,0.0276,0.0276,0.0274,0.0275
com.google.common.jimfs.Util,0.0247,0.0249,0.0184,0.0246,0.0248,0.0247,0.0237
com.google.common.jimfs.Directory$1,0.0236,0.0235,0.0235,0.0235,0.0235,0.0235,0.0235
com.google.common.jimfs.PollingWatchService,0.0224,0.0224,0.0224,0.0225,0.0223,0.0220,0.0223
com.google.common.jimfs.FileSystemState,0.0168,0.0226,0.0226,0.0227,0.0228,0.0223,0.0216
com.google.common.jimfs.PollingWatchService$Snapshot,0.0215,0.0214,0.0215,0.0214,0.0213,0.0211,0.0214
com.google.common.jimfs.AbstractWatchService,0.0197,0.0196,0.0197,0.0196,0.0196,0.0193,0.0196
com.google.common.jimfs.JimfsInputStream,0.0192,0.0135,0.0192,0.0078,0.0192,0.0079,0.0145
com.google.common.jimfs.PathService,0.0142,0.0141,0.0143,0.0144,0.0143,0.0139,0.0142
com.google.common.jimfs.JimfsAsynchronousFileChannel,0.0070,0.0126,0.0011,0.0241,0.0182,0.0183,0.0136
com.google.common.jimfs.AttributeService,0.0123,0.0123,0.0116,0.0121,0.0125,0.0126,0.0122
com.google.common.jimfs.DirectoryEntry,0.0118,0.0120,0.0119,0.0121,0.0118,0.0118,0.0119
com.google.common.jimfs.HeapDisk,0.0116,0.0114,0.0116,0.0114,0.0113,0.0116,0.0115
com.google.common.jimfs.Name,0.0088,0.0088,0.0089,0.0088,0.0087,0.0090,0.0088
com.google.common.jimfs.JimfsFileStore,0.0087,0.0087,0.0088,0.0087,0.0088,0.0087,0.0087
com.google.common.jimfs.SystemFileTimeSource,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085
com.google.common.jimfs.PollingWatchService$1,0.0084,0.0084,0.0085,0.0084,0.0084,0.0083,0.0084
com.google.common.jimfs.FileTree,0.0080,0.0078,0.0077,0.0079,0.0079,0.0082,0.0079
com.google.common.jimfs.Options,0.0074,0.0073,0.0074,0.0072,0.0073,0.0072,0.0073
com.google.common.jimfs.SystemJimfsFileSystemProvider,0.0068,0.0068,0.0067,0.0067,0.0068,0.0067,0.0068
com.google.common.jimfs.JimfsFileSystems,0.0063,0.0062,0.0062,0.0062,0.0063,0.0063,0.0063
com.google.common.jimfs.JimfsPath$1,0.0046,0.0046,0.0046,0.0046,0.0046,0.0045,0.0046
com.google.common.jimfs.JimfsFileSystemProvider,0.0045,0.0046,0.0047,0.0046,0.0046,0.0045,0.0046
com.google.common.jimfs.AbstractWatchService$Event,0.0047,0.0046,0.0046,0.0046,0.0046,0.0044,0.0046
com.google.common.jimfs.BasicAttributeProvider,0.0039,0.0042,0.0038,0.0041,0.0042,0.0042,0.0041
com.google.common.jimfs.JimfsFileSystem,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
com.google.common.jimfs.PosixAttributeProvider,0.0027,0.0028,0.0027,0.0027,0.0027,0.0026,0.0027
com.google.common.jimfs.OwnerAttributeProvider,0.0025,0.0031,0.0026,0.0028,0.0024,0.0026,0.0027
com.google.common.jimfs.FileFactory,0.0023,0.0023,0.0024,0.0024,0.0024,0.0024,0.0024
com.google.common.jimfs.WindowsPathType,0.0022,0.0022,0.0022,0.0022,0.0021,0.0021,0.0021
com.google.common.jimfs.JimfsOutputStream,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
com.google.common.jimfs.Jimfs,0.0018,0.0018,0.0018,0.0018,0.0018,0.0019,0.0018
com.google.common.jimfs.StandardAttributeProviders,0.0016,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
com.google.common.jimfs.PathService$1,0.0016,0.0016,0.0016,0.0016,0.0017,0.0016,0.0016
com.google.common.jimfs.Configuration$Builder,0.0016,0.0016,0.0017,0.0016,0.0016,0.0017,0.0016
com.google.common.jimfs.UnixPathType,0.0015,0.0015,0.0015,0.0015,0.0014,0.0016,0.0015
com.google.common.jimfs.PathType,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
com.google.common.jimfs.GlobToRegex,0.0013,0.0013,0.0013,0.0014,0.0013,0.0013,0.0013
com.google.common.jimfs.Name$2,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
com.google.common.jimfs.UnixAttributeProvider,0.0012,0.0012,0.0013,0.0012,0.0012,0.0013,0.0012
com.google.common.jimfs.JimfsSecureDirectoryStream,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
com.google.common.jimfs.BasicAttributeProvider$Attributes,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0011
com.google.common.jimfs.Name$1,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
com.google.common.jimfs.AttributeProvider,0.0009,0.0009,0.0009,0.0009,0.0009,0.0010,0.0009
com.google.common.jimfs.PathNormalization,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
com.google.common.jimfs.PathType$ParseResult,0.0009,0.0009,0.0007,0.0009,0.0007,0.0009,0.0008
com.google.common.jimfs.DosAttributeProvider,0.0007,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
com.google.common.jimfs.JimfsSecureDirectoryStream$DirectoryIterator,0.0006,0.0006,0.0007,0.0006,0.0006,0.0007,0.0007
com.google.common.jimfs.AclAttributeProvider,0.0006,0.0007,0.0006,0.0006,0.0006,0.0007,0.0006
com.google.common.jimfs.AttributeService$SimpleFileAttribute,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
