clazz,round0,round1,round2,round3,round4,round5,avg.
org.apache.empire.db.DBRowSet,0.0824,0.1047,0.0925,0.0992,0.0860,0.1090,0.0956
org.apache.empire.db.DBRecordBase,0.0874,0.0826,0.0914,0.0728,0.0915,0.0945,0.0867
org.apache.empire.db.DBDatabase,0.0740,0.0758,0.0669,0.0734,0.0721,0.0745,0.0728
org.apache.empire.db.DBCommand,0.0612,0.0627,0.0664,0.0560,0.0632,0.0564,0.0610
org.apache.empire.dbms.DBMSHandlerBase,0.0490,0.0557,0.0416,0.0430,0.0540,0.0485,0.0486
org.apache.empire.db.DBTable,0.0475,0.0472,0.0410,0.0470,0.0480,0.0448,0.0459
org.apache.empire.db.DBCmdParamList,0.0442,0.0444,0.0366,0.0522,0.0440,0.0386,0.0433
org.apache.empire.dbms.mysql.DBMSHandlerMySQL,0.0441,0.0404,0.0479,0.0414,0.0409,0.0430,0.0430
org.apache.empire.db.DBTableColumn,0.0361,0.0370,0.0359,0.0333,0.0309,0.0318,0.0342
org.apache.empire.db.DBRecord,0.0305,0.0290,0.0335,0.0334,0.0328,0.0299,0.0315
org.apache.empire.commons.StringUtils,0.0314,0.0339,0.0304,0.0229,0.0340,0.0340,0.0311
org.apache.empire.db.DBDDLGenerator,0.0332,0.0311,0.0191,0.0323,0.0275,0.0312,0.0291
org.apache.empire.db.DBSQLScript,0.0235,0.0235,0.0242,0.0258,0.0237,0.0242,0.0242
org.apache.empire.commons.Attributes,0.0194,0.0189,0.0140,0.0198,0.0190,0.0187,0.0183
org.apache.empire.db.DBColumn,0.0117,0.0110,0.0151,0.0256,0.0195,0.0154,0.0164
org.apache.empire.db.DBUtils,0.0181,0.0195,0.0183,0.0178,0.0132,0.0098,0.0161
org.apache.empire.commons.ObjectUtils,0.0124,0.0149,0.0210,0.0177,0.0136,0.0140,0.0156
org.apache.empire.db.DBSQLBuilder,0.0134,0.0142,0.0169,0.0176,0.0126,0.0169,0.0153
org.apache.empire.dbms.derby.DerbyDDLGenerator,0.0157,0.0119,0.0156,0.0164,0.0105,0.0152,0.0142
org.apache.empire.db.context.DBContextBase,0.0135,0.0103,0.0132,0.0097,0.0141,0.0098,0.0118
org.apache.empire.db.context.DBContextStatic,0.0110,0.0118,0.0110,0.0125,0.0117,0.0068,0.0108
org.apache.empire.db.DBRecordBase$State,0.0086,0.0129,0.0122,0.0090,0.0119,0.0032,0.0096
org.apache.empire.dbms.sqlite.DBMSHandlerSQLite,0.0094,0.0073,0.0089,0.0087,0.0094,0.0085,0.0087
org.apache.empire.db.DBCmdParam,0.0100,0.0079,0.0097,0.0029,0.0093,0.0049,0.0074
org.apache.empire.db.DBColumnExpr,0.0047,0.0048,0.0085,0.0079,0.0049,0.0085,0.0066
org.apache.empire.dbms.h2.H2DDLGenerator,0.0046,0.0045,0.0049,0.0046,0.0045,0.0046,0.0046
org.apache.empire.db.DBReader,0.0027,0.0040,0.0030,0.0030,0.0034,0.0030,0.0032
org.apache.empire.db.expr.compare.DBCompareColExpr,0.0036,0.0021,0.0022,0.0043,0.0037,0.0020,0.0030
org.apache.empire.commons.Options,0.0021,0.0026,0.0020,0.0023,0.0026,0.0028,0.0024
org.apache.empire.db.expr.set.DBSetExpr,0.0024,0.0026,0.0019,0.0024,0.0030,0.0019,0.0024
org.apache.empire.db.DBCommandExpr,0.0019,0.0016,0.0019,0.0026,0.0019,0.0019,0.0020
org.apache.empire.db.DBIndex,0.0014,0.0014,0.0014,0.0018,0.0010,0.0009,0.0013
org.apache.empire.db.DBSQLScript$SQLStmt,0.0011,0.0011,0.0013,0.0014,0.0015,0.0011,0.0012
org.apache.empire.db.DBObject,0.0011,0.0012,0.0011,0.0015,0.0011,0.0010,0.0012
org.apache.empire.dbms.hsql.HSqlDDLGenerator,0.0010,0.0010,0.0009,0.0016,0.0013,0.0008,0.0011
org.apache.empire.commons.DateUtils,0.0010,0.0011,0.0010,0.0012,0.0012,0.0010,0.0011
