clazz,round0,round1,round2,round3,round4,round5,avg.
org.jfree.chart.plot.CategoryPlot,0.0527,0.0526,0.0526,0.0528,0.0533,0.0521,0.0527
org.jfree.chart.plot.XYPlot,0.0423,0.0423,0.0422,0.0426,0.0424,0.0422,0.0423
org.jfree.chart.axis.NumberAxis,0.0222,0.0204,0.0226,0.0248,0.0219,0.0222,0.0224
org.jfree.data.general.DatasetUtils,0.0221,0.0209,0.0211,0.0233,0.0209,0.0225,0.0218
org.jfree.chart.renderer.AbstractRenderer,0.0186,0.0189,0.0190,0.0187,0.0188,0.0186,0.0188
org.jfree.chart.axis.DateAxis,0.0199,0.0168,0.0169,0.0197,0.0172,0.0168,0.0179
org.jfree.chart.JFreeChart,0.0174,0.0173,0.0174,0.0176,0.0175,0.0174,0.0174
org.jfree.chart.axis.ValueAxis,0.0165,0.0167,0.0164,0.0165,0.0166,0.0167,0.0166
org.jfree.chart.plot.PiePlot,0.0164,0.0166,0.0152,0.0164,0.0166,0.0169,0.0164
org.jfree.chart.plot.Plot,0.0155,0.0156,0.0153,0.0155,0.0155,0.0155,0.0155
org.jfree.chart.axis.Axis,0.0136,0.0136,0.0135,0.0135,0.0136,0.0136,0.0136
org.jfree.chart.StandardChartTheme,0.0132,0.0132,0.0133,0.0131,0.0131,0.0132,0.0132
org.jfree.chart.axis.CategoryAxis,0.0098,0.0100,0.0097,0.0097,0.0097,0.0098,0.0098
org.jfree.chart.renderer.RendererUtils,0.0125,0.0088,0.0063,0.0088,0.0113,0.0088,0.0094
org.jfree.chart.title.LegendTitle,0.0091,0.0092,0.0093,0.0092,0.0091,0.0092,0.0092
org.jfree.chart.ui.RectangleInsets,0.0089,0.0087,0.0090,0.0089,0.0087,0.0089,0.0088
org.jfree.chart.text.TextUtils,0.0078,0.0080,0.0090,0.0090,0.0080,0.0090,0.0084
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,0.0072,0.0071,0.0071,0.0072,0.0071,0.0071,0.0071
org.jfree.data.time.Month,0.0055,0.0092,0.0067,0.0038,0.0089,0.0080,0.0070
org.jfree.chart.block.AbstractBlock,0.0067,0.0068,0.0068,0.0070,0.0068,0.0067,0.0068
org.jfree.chart.title.TextTitle,0.0066,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
org.jfree.chart.util.SerialUtils,0.0061,0.0062,0.0074,0.0073,0.0061,0.0061,0.0065
org.jfree.chart.plot.DefaultDrawingSupplier,0.0065,0.0065,0.0066,0.0065,0.0064,0.0064,0.0065
org.jfree.chart.plot.Marker,0.0063,0.0062,0.0063,0.0063,0.0063,0.0062,0.0063
org.jfree.data.time.TimeSeries,0.0062,0.0064,0.0061,0.0063,0.0063,0.0062,0.0062
org.jfree.chart.axis.NumberTickUnitSource,0.0072,0.0060,0.0060,0.0073,0.0060,0.0047,0.0062
org.jfree.chart.util.ShapeUtils,0.0061,0.0061,0.0061,0.0061,0.0061,0.0062,0.0061
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,0.0062,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061
org.jfree.chart.title.Title,0.0060,0.0060,0.0060,0.0061,0.0060,0.0061,0.0060
org.jfree.chart.plot.MeterPlot,0.0062,0.0063,0.0062,0.0050,0.0062,0.0062,0.0060
org.jfree.chart.renderer.category.BarRenderer,0.0059,0.0061,0.0059,0.0059,0.0061,0.0060,0.0060
org.jfree.chart.LegendItem,0.0056,0.0058,0.0058,0.0056,0.0056,0.0057,0.0057
org.jfree.data.xy.XYSeries,0.0056,0.0057,0.0056,0.0055,0.0056,0.0056,0.0056
org.jfree.data.Range,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
org.jfree.chart.ChartPanel,0.0050,0.0051,0.0052,0.0051,0.0051,0.0051,0.0051
org.jfree.chart.ui.TextAnchor,0.0043,0.0043,0.0043,0.0042,0.0043,0.0043,0.0043
org.jfree.chart.plot.SpiderWebPlot,0.0043,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
org.jfree.chart.block.FlowArrangement,0.0041,0.0041,0.0042,0.0042,0.0042,0.0042,0.0042
org.jfree.chart.axis.AxisSpace,0.0040,0.0040,0.0040,0.0040,0.0041,0.0039,0.0040
org.jfree.chart.title.LegendGraphic,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,0.0039,0.0041,0.0039,0.0039,0.0041,0.0040,0.0040
org.jfree.chart.block.BorderArrangement,0.0040,0.0039,0.0040,0.0040,0.0039,0.0039,0.0039
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,0.0037,0.0038,0.0037,0.0037,0.0037,0.0037,0.0037
org.jfree.data.DefaultKeyedValues2D,0.0036,0.0035,0.0035,0.0036,0.0035,0.0035,0.0035
org.jfree.data.KeyedObjects2D,0.0033,0.0034,0.0034,0.0035,0.0034,0.0033,0.0034
org.jfree.chart.plot.PolarPlot,0.0033,0.0034,0.0033,0.0034,0.0033,0.0034,0.0034
org.jfree.chart.axis.LogAxis,0.0041,0.0029,0.0041,0.0029,0.0030,0.0029,0.0033
org.jfree.chart.util.AbstractObjectList,0.0029,0.0029,0.0041,0.0029,0.0042,0.0029,0.0033
org.jfree.chart.plot.PiePlot3D,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033
org.jfree.chart.date.SpreadsheetDate,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
org.jfree.data.category.DefaultCategoryDataset,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031
org.jfree.data.xy.XYSeriesCollection,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031
org.jfree.chart.util.PaintUtils,0.0031,0.0031,0.0031,0.0031,0.0032,0.0030,0.0031
org.jfree.chart.date.SerialDate,0.0034,0.0022,0.0022,0.0037,0.0034,0.0037,0.0031
org.jfree.chart.renderer.LookupPaintScale,0.0043,0.0030,0.0030,0.0018,0.0030,0.0030,0.0030
