clazz,round0,round1,round2,round3,round4,round5,avg.
org.apache.commons.codec.digest.Md5Crypt,0.0070,0.0067,0.0048,0.0048,0.0067,0.0048,0.0058
org.apache.commons.codec.language.Metaphone,0.0051,0.0053,0.0050,0.0052,0.0052,0.0052,0.0052
org.apache.commons.codec.digest.Blake3$Output,0.0043,0.0043,0.0042,0.0042,0.0042,0.0022,0.0039
org.apache.commons.codec.language.bm.PhoneticEngine$RulesApplication,0.0035,0.0041,0.0040,0.0035,0.0035,0.0041,0.0038
org.apache.commons.codec.digest.B64,0.0033,0.0034,0.0034,0.0032,0.0033,0.0033,0.0033
org.apache.commons.codec.language.DaitchMokotoffSoundex,0.0031,0.0031,0.0031,0.0030,0.0030,0.0031,0.0030
org.apache.commons.codec.language.bm.Lang,0.0030,0.0030,0.0029,0.0029,0.0028,0.0030,0.0029
org.apache.commons.codec.digest.HmacUtils,0.0029,0.0028,0.0029,0.0028,0.0028,0.0029,0.0028
org.apache.commons.codec.digest.PureJavaCrc32,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
org.apache.commons.codec.net.QuotedPrintableCodec,0.0028,0.0025,0.0027,0.0026,0.0027,0.0027,0.0027
org.apache.commons.codec.language.Nysiis,0.0028,0.0026,0.0026,0.0026,0.0026,0.0027,0.0026
org.apache.commons.codec.digest.MurmurHash2,0.0023,0.0023,0.0022,0.0022,0.0023,0.0023,0.0023
org.apache.commons.codec.language.DaitchMokotoffSoundex$Rule,0.0024,0.0024,0.0004,0.0024,0.0024,0.0024,0.0021
org.apache.commons.codec.binary.BinaryCodec,0.0022,0.0020,0.0020,0.0020,0.0020,0.0021,0.0020
org.apache.commons.codec.binary.StringUtils,0.0021,0.0020,0.0021,0.0020,0.0020,0.0020,0.0020
org.apache.commons.codec.language.bm.Lang$LangRule,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
org.apache.commons.codec.language.ColognePhonetic,0.0018,0.0017,0.0017,0.0016,0.0017,0.0017,0.0017
org.apache.commons.codec.binary.BaseNCodecOutputStream,0.0016,0.0015,0.0016,0.0016,0.0015,0.0016,0.0016
org.apache.commons.codec.digest.PureJavaCrc32C,0.0016,0.0015,0.0015,0.0015,0.0014,0.0015,0.0015
org.apache.commons.codec.net.PercentCodec,0.0016,0.0015,0.0015,0.0014,0.0015,0.0015,0.0015
org.apache.commons.codec.language.Soundex,0.0016,0.0015,0.0014,0.0013,0.0014,0.0015,0.0014
org.apache.commons.codec.language.DaitchMokotoffSoundex$Branch,0.0004,0.0005,0.0024,0.0004,0.0024,0.0024,0.0014
org.apache.commons.codec.language.bm.Rule$2,0.0013,0.0016,0.0013,0.0013,0.0015,0.0013,0.0014
org.apache.commons.codec.language.bm.Rule$PhonemeList,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,0.0012,0.0011,0.0011,0.0011,0.0011,0.0012,0.0011
org.apache.commons.codec.language.SoundexUtils,0.0011,0.0011,0.0011,0.0011,0.0011,0.0010,0.0011
org.apache.commons.codec.net.URLCodec,0.0010,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
org.apache.commons.codec.language.bm.Languages$LanguageSet,0.0010,0.0011,0.0010,0.0010,0.0010,0.0010,0.0010
org.apache.commons.codec.digest.HmacAlgorithms,0.0010,0.0010,0.0010,0.0009,0.0009,0.0009,0.0010
org.apache.commons.codec.language.bm.Languages,0.0010,0.0009,0.0010,0.0009,0.0009,0.0008,0.0009
org.apache.commons.codec.language.bm.BeiderMorseEncoder,0.0008,0.0009,0.0008,0.0008,0.0007,0.0008,0.0008
org.apache.commons.codec.language.bm.Languages$1,0.0009,0.0009,0.0008,0.0008,0.0007,0.0007,0.0008
org.apache.commons.codec.net.RFC1522Codec,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.apache.commons.codec.language.RefinedSoundex,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
