clazz,round0,round1,round2,round3,round4,round5,avg.
com.github.pagehelper.Page,0.1902,0.1906,0.1902,0.1902,0.1903,0.1904,0.1903
com.github.pagehelper.dialect.AbstractHelperDialect,0.1246,0.1248,0.1247,0.1249,0.1248,0.1248,0.1248
com.github.pagehelper.parser.defaults.DefaultCountSqlParser,0.1180,0.1182,0.1180,0.1181,0.1182,0.1182,0.1181
com.github.pagehelper.PageHelper,0.1159,0.1161,0.1161,0.1162,0.1162,0.1161,0.1161
com.github.pagehelper.PageInterceptor,0.0817,0.0818,0.0818,0.0819,0.0818,0.0819,0.0818
com.github.pagehelper.page.PageAutoDialect,0.0460,0.0461,0.0460,0.0461,0.0461,0.0461,0.0461
com.github.pagehelper.page.PageParams,0.0420,0.0421,0.0420,0.0420,0.0420,0.0420,0.0420
com.github.pagehelper.util.ExecutorUtil,0.0319,0.0319,0.0319,0.0319,0.0319,0.0319,0.0319
com.github.pagehelper.page.PageMethod,0.0282,0.0282,0.0283,0.0282,0.0283,0.0282,0.0282
com.github.pagehelper.dialect.helper.HsqldbDialect,0.0225,0.0225,0.0224,0.0225,0.0224,0.0225,0.0225
com.github.pagehelper.util.PageObjectUtil,0.0210,0.0210,0.0210,0.0210,0.0210,0.0210,0.0210
com.github.pagehelper.util.ClassUtil,0.0155,0.0155,0.0156,0.0156,0.0156,0.0155,0.0156
com.github.pagehelper.dialect.helper.MySqlDialect,0.0152,0.0153,0.0153,0.0153,0.0153,0.0152,0.0152
com.github.pagehelper.BoundSqlInterceptorChain,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152
com.github.pagehelper.cache.GuavaCache,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132
com.github.pagehelper.page.PageBoundSqlInterceptors,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124
com.github.pagehelper.util.StringUtil,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104
com.github.pagehelper.util.SqlSafeUtil,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078
com.github.pagehelper.PageInfo,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
com.github.pagehelper.dialect.auto.DataSourceNegotiationAutoDialect,0.0054,0.0054,0.0055,0.0055,0.0054,0.0054,0.0054
com.github.pagehelper.util.MSUtils,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054
com.github.pagehelper.dialect.auto.DataSourceAutoDialect,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050
com.github.pagehelper.CountMsIdGen,0.0043,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
com.github.pagehelper.parser.SqlParser,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
com.github.pagehelper.parser.SqlParserUtil,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
com.github.pagehelper.util.MetaObjectWithReflectCache,0.0040,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
com.github.pagehelper.util.MetaObjectUtil,0.0039,0.0039,0.0039,0.0040,0.0040,0.0039,0.0039
com.github.pagehelper.util.StackTraceUtil,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
com.github.pagehelper.parser.defaults.DefaultSqlServerSqlParser,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037
com.github.pagehelper.cache.CacheFactory,0.0034,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
com.github.pagehelper.parser.CountSqlParser,0.0024,0.0023,0.0024,0.0024,0.0023,0.0024,0.0024
com.github.pagehelper.BoundSqlInterceptor$Chain,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
com.github.pagehelper.dialect.AbstractRowBoundsDialect,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
com.github.pagehelper.PageSerializable,0.0011,0.0010,0.0011,0.0010,0.0011,0.0011,0.0011
com.github.pagehelper.dialect.rowbounds.HsqldbRowBoundsDialect,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
com.github.pagehelper.parser.defaults.DefaultOrderBySqlParser,0.0009,0.0010,0.0009,0.0009,0.0010,0.0009,0.0009
com.github.pagehelper.PageRowBounds,0.0007,0.0007,0.0008,0.0007,0.0007,0.0007,0.0007
com.github.pagehelper.PageParam,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
com.github.pagehelper.Dialect,0.0007,0.0006,0.0007,0.0006,0.0006,0.0006,0.0006
com.github.pagehelper.dialect.AbstractDialect,0.0006,0.0006,0.0007,0.0006,0.0006,0.0006,0.0006
com.github.pagehelper.dialect.auto.DbcpAutoDialect,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
com.github.pagehelper.dialect.auto.C3P0AutoDialect,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
com.github.pagehelper.dialect.auto.TomcatAutoDialect,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
com.github.pagehelper.dialect.auto.DruidAutoDialect,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
com.github.pagehelper.dialect.replace.RegexWithNolockReplaceSql,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
com.github.pagehelper.dialect.auto.HikariAutoDialect,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
