clazz,round0,round1,round2,round3,round4,round5,avg.
delight.nashornsandbox.internal.ThreadMonitor,0.3585,0.3639,0.3765,0.3518,0.3652,0.3688,0.3641
delight.nashornsandbox.internal.NashornSandboxImpl,0.3180,0.3379,0.3353,0.3475,0.3387,0.3430,0.3367
delight.nashornsandbox.internal.JsSanitizer,0.1124,0.1114,0.1127,0.1123,0.1136,0.1159,0.1131
delight.nashornsandbox.internal.JsEvaluator,0.0666,0.0650,0.0639,0.0609,0.0627,0.0575,0.0628
delight.nashornsandbox.internal.NashornDetection,0.0318,0.0288,0.0292,0.0303,0.0294,0.0306,0.0300
delight.nashornsandbox.internal.EvaluateOperation,0.0215,0.0215,0.0223,0.0218,0.0211,0.0189,0.0212
delight.nashornsandbox.internal.JsSanitizer$1,0.0094,0.0089,0.0086,0.0090,0.0089,0.0095,0.0091
delight.nashornsandbox.internal.SandboxClassFilter,0.0070,0.0066,0.0084,0.0072,0.0073,0.0064,0.0072
delight.nashornsandbox.internal.StandaloneNashornClassFilter,0.0061,0.0062,0.0063,0.0058,0.0070,0.0054,0.0061
delight.nashornsandbox.internal.InterruptTest,0.0057,0.0051,0.0054,0.0000,0.0058,0.0056,0.0046
delight.nashornsandbox.exceptions.ScriptAbuseException,0.0033,0.0030,0.0033,0.0031,0.0030,0.0035,0.0032
delight.nashornsandbox.internal.LinkedHashMapSecuredJsCache,0.0023,0.0022,0.0023,0.0028,0.0022,0.0023,0.0024
delight.nashornsandbox.internal.EvaluateCompiledOperation,0.0027,0.0024,0.0021,0.0022,0.0020,0.0018,0.0022
delight.nashornsandbox.internal.NashornSandboxImpl$1,0.0012,0.0011,0.0011,0.0023,0.0011,0.0000,0.0011
delight.nashornsandbox.internal.InvokeOperation,0.0006,0.0005,0.0005,0.0009,0.0006,0.0012,0.0007
delight.nashornsandbox.NashornSandboxes,0.0006,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006
delight.nashornsandbox.internal.NashornDetection$StandaloneNashornClassFilterCreator,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0001
delight.nashornsandbox.internal.RemoveComments,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
