clazz,round0,round1,round2,round3,round4,round5,avg.
org.apache.commons.cli.HelpFormatter,0.2165,0.2011,0.2163,0.2165,0.2308,0.2011,0.2137
org.apache.commons.cli.Option,0.1229,0.1222,0.1235,0.1223,0.1244,0.1212,0.1228
org.apache.commons.cli.DefaultParser,0.0875,0.0863,0.0856,0.0891,0.0874,0.0864,0.0871
org.apache.commons.cli.CommandLine,0.0654,0.0640,0.0655,0.0654,0.0642,0.0656,0.0650
org.apache.commons.cli.Parser,0.0548,0.0535,0.0536,0.0530,0.0536,0.0531,0.0536
org.apache.commons.cli.Options,0.0448,0.0466,0.0454,0.0466,0.0453,0.0440,0.0454
org.apache.commons.cli.OptionValidator,0.0409,0.0414,0.0410,0.0400,0.0405,0.0421,0.0410
org.apache.commons.cli.Util,0.0389,0.0371,0.0358,0.0345,0.0349,0.0382,0.0366
org.apache.commons.cli.PosixParser,0.0309,0.0320,0.0317,0.0319,0.0310,0.0315,0.0315
org.apache.commons.cli.OptionBuilder,0.0224,0.0232,0.0228,0.0223,0.0218,0.0230,0.0226
org.apache.commons.cli.Option$Builder,0.0194,0.0194,0.0194,0.0188,0.0198,0.0187,0.0193
org.apache.commons.cli.OptionGroup,0.0135,0.0141,0.0135,0.0132,0.0134,0.0137,0.0136
org.apache.commons.cli.TypeHandler,0.0084,0.0082,0.0084,0.0082,0.0079,0.0084,0.0082
org.apache.commons.cli.GnuParser,0.0074,0.0083,0.0071,0.0070,0.0075,0.0082,0.0076
org.apache.commons.cli.CommandLine$Builder,0.0074,0.0070,0.0071,0.0071,0.0072,0.0071,0.0072
org.apache.commons.cli.DeprecatedAttributes,0.0044,0.0044,0.0045,0.0043,0.0046,0.0044,0.0044
org.apache.commons.cli.PatternOptionBuilder,0.0044,0.0043,0.0044,0.0045,0.0044,0.0043,0.0044
org.apache.commons.cli.DefaultParser$Builder,0.0032,0.0033,0.0032,0.0033,0.0033,0.0033,0.0033
org.apache.commons.cli.ParseException,0.0019,0.0019,0.0019,0.0019,0.0020,0.0019,0.0019
org.apache.commons.cli.MissingOptionException,0.0017,0.0018,0.0017,0.0018,0.0018,0.0017,0.0017
org.apache.commons.cli.Converter,0.0012,0.0013,0.0012,0.0013,0.0012,0.0013,0.0012
org.apache.commons.cli.HelpFormatter$Builder,0.0009,0.0009,0.0009,0.0009,0.0010,0.0009,0.0009
org.apache.commons.cli.BasicParser,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
org.apache.commons.cli.AmbiguousOptionException,0.0008,0.0007,0.0008,0.0009,0.0008,0.0008,0.0008
org.apache.commons.cli.DeprecatedAttributes$Builder,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
org.apache.commons.cli.UnrecognizedOptionException,0.0005,0.0005,0.0005,0.0006,0.0005,0.0005,0.0005
org.apache.commons.cli.HelpFormatter$OptionComparator,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.apache.commons.cli.AlreadySelectedException,0.0002,0.0002,0.0000,0.0002,0.0002,0.0002,0.0002
