seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,220855,218493,208568,213089,208919,221716,215273,1.427,1.731
42,136883,133093,139596,132194,134451,130029,134374,0.891,1.081
123,161028,165192,166446,153830,166825,154689,161335,1.069,1.297
216,101147,101738,101074,100674,102727,104070,101905,0.675,0.819
1202,124637,130942,161594,159518,159509,160418,149436,0.99,1.202
1999,152185,155535,145272,163936,158183,165402,156752,1.039,1.261
2002,182229,186441,186880,188672,183057,186669,185658,1.23,1.493
2024,157460,164631,154842,166151,158477,161308,160478,1.064,1.291
31415,163085,166453,163137,169770,160338,160912,163949,1.087,1.318
99999,183690,187919,184869,182680,182591,185811,184593,1.223,1.484
default,145150,165662,150375,153271,142116,148753,150888,1.0,1.213
fastest,125236,119976,126959,126750,118981,128213,124352,0.824,1.0
GC_torder,199534,216258,190301,201252,234263,188318,204988,1.359,1.648
GC_morder,180132,183550,170422,144194,160926,144242,163911,1.086,1.318
