seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,971979,973061,974578,964456,964747,950300,966520,1.037,0.676
42,742182,739897,733909,742591,744478,730344,738900,0.793,0.517
123,1054294,949190,950614,941811,1072859,1107224,1012665,1.086,0.709
216,1067751,979640,979947,964070,1130874,1145555,1044640,1.12,0.731
1202,986340,994017,1006367,985323,979356,963021,985737,1.057,0.69
1999,1105339,1184465,1007855,951498,1086169,1155841,1081861,1.16,0.757
2002,1124541,1134625,998758,958344,1125598,1149096,1081827,1.16,0.757
2024,777168,734158,742157,731987,742027,1050843,796390,0.854,0.557
31415,1062448,941496,1104524,1149665,1011248,1028803,1049697,1.126,0.735
99999,1189298,1170098,986236,978267,844454,874618,1007162,1.08,0.705
default,876773,926395,951198,1016327,973490,849825,932335,1.0,0.652
fastest,1729482,1650010,1408781,1564610,1218730,1001826,1428906,1.533,1.0
