seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,74244,74456,74171,74047,74166,74875,74326,1.02,0.816
42,106092,111199,119532,128110,115890,119379,116700,1.602,1.281
123,118738,123946,113870,113987,112929,119303,117129,1.608,1.285
216,99203,98667,98398,98136,95777,93266,97241,1.335,1.067
1202,111055,112899,121358,129622,115937,124820,119282,1.638,1.309
1999,126222,123926,115891,118799,118093,110840,118962,1.633,1.305
2002,97576,98653,99457,97437,96657,99480,98210,1.348,1.078
2024,107134,115965,127423,134033,120377,126038,121828,1.673,1.337
31415,121994,126566,113940,115982,112543,111464,117082,1.607,1.285
99999,100483,100026,95888,98995,99244,92237,97812,1.343,1.073
default,70669,73212,73116,73377,73214,73446,72839,1.0,0.799
fastest,98629,96292,88382,87807,88397,87264,91128,1.251,1.0
GC_torder,165362,163660,121412,123586,113776,85932,128955,1.77,1.415
GC_morder,188381,170822,141830,139468,110716,92954,140695,1.932,1.544
