seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,301896,299602,294308,301403,297257,297688,298692,0.876,0.429
42,362959,335052,355521,456925,445091,426813,397060,1.165,0.57
123,428187,408172,442734,452445,409620,415842,426167,1.25,0.612
216,298971,300780,295706,298331,301487,295494,298462,0.875,0.429
1202,425394,421632,433462,459521,469272,414242,437254,1.282,0.628
1999,406562,417766,435489,448181,467625,453148,438128,1.285,0.629
2002,417215,381061,343957,339969,388184,420389,381796,1.12,0.549
2024,458297,465352,404290,400189,400522,437704,427726,1.254,0.615
31415,358199,352064,350779,354937,322626,302334,340156,0.998,0.489
99999,416766,372924,333697,338734,378202,420626,376825,1.105,0.541
default,425949,421578,327781,289760,290773,289892,340956,1.0,0.49
fastest,708749,765627,700756,682421,651447,667167,696028,2.041,1.0
