seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,1193716,1245466,1333693,1146826,1186234,1017257,1187199,1.017,
42,1224684,1230039,1226512,1229823,1222108,1224486,1226275,1.051,
123,1226129,1205070,1222898,1211594,1227029,1216553,1218212,1.044,
216,1238399,1241951,1217592,1236640,1242376,1232824,1234964,1.058,
1202,1268482,1207499,1217948,1192715,1191336,1196669,1212442,1.039,
1999,1224330,1219168,1241071,1250103,1221032,1232188,1231315,1.055,
2002,1281890,1225781,1202009,1195801,1206433,1214431,1221058,1.046,
2024,1209067,1214084,1210305,1203912,1223792,1215556,1212786,1.039,
31415,1262209,1225061,1232550,1256044,1212502,1237862,1237705,1.06,
99999,1012091,1007620,1020120,1012129,1008157,1010389,1011751,0.867,
default,1293580,1222849,1121751,1107145,1112230,1145875,1167238,1.0,
