seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,142162,144029,143536,144435,143665,138543,142728,1.131,
42,133301,145059,142955,143052,142402,143428,141700,1.123,
123,141482,142824,144954,143289,143459,143301,143218,1.135,
216,141211,141117,142836,143653,142729,143965,142585,1.13,
1202,141774,142864,140937,141358,139935,142272,141523,1.122,
1999,141486,143584,141777,142196,142486,141965,142249,1.127,
2002,141230,146884,144231,142996,142541,143944,143638,1.138,
2024,144451,147817,143458,141787,143775,143018,144051,1.142,
31415,146607,145114,145907,144606,145469,125642,142224,1.127,
99999,123516,148062,147817,146579,146970,147148,143349,1.136,
default,124912,125298,127413,130118,124276,125124,126190,1.0,
