seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,346983,354783,359405,354831,351118,353126,353374,0.914,
42,345764,346026,352718,348595,356590,339201,348149,0.901,
123,352276,355384,352385,356776,356602,356923,355058,0.919,
216,354246,357431,348357,351183,348307,345229,350792,0.908,
1202,346908,324877,353710,375201,387913,388794,362900,0.939,
1999,360849,389299,390764,391956,367756,380307,380155,0.984,
2002,391143,386449,373815,372157,369835,371947,377558,0.977,
2024,389563,350707,376063,364071,375709,392479,374765,0.97,
31415,372020,365999,380049,394233,357808,354656,370794,0.959,
99999,383985,352723,346738,328752,323004,322237,342906,0.887,
default,435829,399880,380467,385157,379746,337871,386492,1.0,
