seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
0,523103,416204,359821,356175,257828,263122,362709,1.425,1.689
42,315489,282014,280903,318168,341390,325767,310622,1.22,1.447
123,321070,257695,298680,339483,567724,598779,397238,1.56,1.85
216,478060,419589,464770,567343,544672,541065,502583,1.974,2.341
1202,482214,413946,460085,557516,552764,545264,501965,1.972,2.338
1999,589183,548405,558352,578452,534084,466170,545774,2.144,2.542
2002,283493,322899,327291,295744,315686,298658,307295,1.207,1.431
2024,334519,292338,304582,336567,279223,233632,296810,1.166,1.382
31415,296145,279352,271884,254627,256832,259591,269738,1.06,1.256
99999,339650,343205,281224,321403,284504,320248,315039,1.237,1.467
default,238668,282532,254370,242021,266163,243771,254588,1.0,1.186
fastest,215086,214637,215197,213740,214805,214786,214708,0.843,1.0
