mutated_class,mutated_method,method_description,indexes,mutator,test,seed_0,seed_42,seed_123,seed_216,seed_1202,seed_1999,seed_2002,seed_2024,seed_31415,seed_99999
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testFileSystem(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed/survived,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCreateFile_relative(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,survived,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testOpenChannel_withInitialAttributes_fileExists(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed/survived,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testRegularFileAccessAndModifiedTimeUpdates(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed/survived,killed,killed,killed,killed/survived
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testMoveFile_toNonExistentRootPath_fails(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,killed,killed/survived,killed,killed,killed/survived,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testUnsupportedFeatures(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed/survived,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testWriteFile_succeeds(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed/survived,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testWrite_fileExistsButIsNotRegularFile(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed,survived,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testPathMatchers_invalid(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,survived,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testPaths(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed/survived,killed/survived,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testWriteLines_withStandardOptions(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed,killed/survived,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCopy_inputStreamToFile(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed/survived,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testLinks_failsWhenTargetFileAlreadyExists(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testRead_forNewFile_isEmpty(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed/survived,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPathMatchers_glob_alternateSeparators(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,killed/survived,killed,killed,killed,killed,survived
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testNewFileSystem_hasRootAndWorkingDirectory(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed/survived,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCreateSymbolicLink_absolute(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed/survived,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testCreateFileOrDirectory_forExistingRootPath_fails(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed/survived,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testLink_failsWhenTargetDoesNotExist(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed/survived,killed,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testCopyFile_toNonExistentRootPath_fails(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed/survived,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_startsWith_endsWith(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed,survived,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCopy_directoryToPath_doesNotCopyDirectoryContents(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed/survived,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_withSlash(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,survived,killed,killed,killed,killed,killed,survived,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_normalize(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,survived,killed,killed,killed,killed,survived,killed/survived,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPathMatchers_glob(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,survived,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testOpenFile_withReadAndTruncateExisting_doesNotTruncateFile(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed/survived,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testPaths_toAbsolutePath(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,survived,killed,killed/survived,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCreateFile_parentDoesNotExist(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed,killed,killed/survived
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_areSortedCaseInsensitive(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,survived,killed,killed,killed/survived,killed/survived,killed,killed,killed/survived,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_relativize(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,killed,survived,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testOutputStream_withTruncateExistingAndNotWrite_truncatesFile(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,survived,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testLink_forSymbolicLink_usesSymbolicLinkTarget(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed/survived,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_getFromUri(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed/survived,killed,survived,survived,killed,killed,killed/survived,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testDirectories_newlyCreatedDirectoryHasTwoLinks(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed/survived,killed,killed,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_toRealPath(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed/survived,killed,killed,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testFileSystem(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed/survived,killed,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testSecureDirectoryStreamBasedOnRelativePath(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed/survived,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_equalityIsCaseInsensitive(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,killed,killed,survived,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCreateFile_existing(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed/survived,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCopy_toDifferentFileSystem_copyAttributes(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed,killed,survived
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testPaths_equalityIsCaseSensitive(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed/survived,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testPaths_getFromUri(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed/survived,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testClosedSecureDirectoryStream(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,survived,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCreateFile_withInitialAttributes(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed/survived,killed/survived,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_toUri_unc(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed,killed,killed/survived
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCreateFile_nonDirectoryHigherInPath(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed/survived,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testStreams(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed/survived,killed,killed,killed,killed/survived,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCreateSymbolicLink_relative(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed/survived,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testCreateDirectories(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed/survived,killed,killed,killed,killed,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testSize_forNewFile_isZero(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,survived,killed,killed,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsUnixLikeFileSystemTest.testDelete_directory_cantDeleteRoot(com.google.common.jimfs.JimfsUnixLikeFileSystemTest),killed,killed,killed,killed,killed,killed,killed,killed/survived,killed,killed
com.google.common.jimfs.JimfsFileSystem,close,()V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,com.google.common.jimfs.JimfsWindowsLikeFileSystemTest.testPaths_resolve(com.google.common.jimfs.JimfsWindowsLikeFileSystemTest),survived,killed,killed,killed/survived,killed,killed,killed,killed,killed,killed/survived
