mutated_class,mutated_method,method_description,indexes,mutator,test,seed_0,seed_42,seed_123,seed_216,seed_1202,seed_1999,seed_2002,seed_2024,seed_31415,seed_99999
delight.nashornsandbox.internal.NashornSandboxImpl,produceSecureBindings,(Ljavax/script/ScriptContext;)V,[107],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,delight.nashornsandbox.TestLimitCPU.test_evil_script(delight.nashornsandbox.TestLimitCPU),killed/survived,survived,survived,survived,survived,survived,survived,survived,survived,survived
delight.nashornsandbox.internal.ThreadMonitor,<init>,(JJ)V,[74],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delight.nashornsandbox.TestLimitCPU.test_only_while_allowed_bad_script(delight.nashornsandbox.TestLimitCPU),survived,survived,survived,survived,survived,killed/survived,survived,survived,survived,survived
delight.nashornsandbox.internal.ThreadMonitor,<init>,(JJ)V,[74],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delight.nashornsandbox.TestLimitCPU.test_while_plus_iteration_bad_script(delight.nashornsandbox.TestLimitCPU),survived,survived,survived,survived,survived,killed/survived,survived,survived,survived,survived
delight.nashornsandbox.internal.ThreadMonitor,isMemoryLimitExceeded,()Z,[10],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delight.nashornsandbox.TestMemoryLimit.test_noexpectedbraces(delight.nashornsandbox.TestMemoryLimit),survived,survived,survived,survived,survived,killed/survived,survived,survived,survived,survived
delight.nashornsandbox.internal.ThreadMonitor,getCPUTime,()J,[7],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,delight.nashornsandbox.TestIssue47.test_invalid(delight.nashornsandbox.TestIssue47),killed,survived,survived,survived,survived,survived,survived,survived,survived,survived
delight.nashornsandbox.internal.ThreadMonitor,run,()V,[174],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delight.nashornsandbox.TestLimitCPU.test(delight.nashornsandbox.TestLimitCPU),killed,killed,killed/survived,killed,killed,killed,killed,killed,killed,killed
delight.nashornsandbox.internal.ThreadMonitor,run,()V,[29],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delight.nashornsandbox.TestLimitCPU.test_while_plus_iteration_bad_script(delight.nashornsandbox.TestLimitCPU),killed,TIMED_OUT,TIMED_OUT,killed,killed,killed,killed,TIMED_OUT,killed,killed
delight.nashornsandbox.internal.ThreadMonitor,run,()V,[29],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delight.nashornsandbox.TestGetFunction.test(delight.nashornsandbox.TestGetFunction),killed,TIMED_OUT,TIMED_OUT,killed,killed,killed,killed,TIMED_OUT,killed,killed
delight.nashornsandbox.internal.ThreadMonitor,run,()V,[29],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delight.nashornsandbox.TestLimitCPU.test_evil_script(delight.nashornsandbox.TestLimitCPU),killed,TIMED_OUT,TIMED_OUT,killed,killed,killed,killed,TIMED_OUT,killed,killed
delight.nashornsandbox.internal.ThreadMonitor,run,()V,[29],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,delight.nashornsandbox.TestMemoryLimit.test_noexpectedbraces(delight.nashornsandbox.TestMemoryLimit),killed,TIMED_OUT,TIMED_OUT,killed,killed,killed,killed,TIMED_OUT,killed,killed
