mutated_class,mutated_method,method_description,indexes,mutator,test,seed_0,seed_42,seed_123,seed_216,seed_1202,seed_1999,seed_2002,seed_2024,seed_31415,seed_99999
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[test-template:testLongOptionalNoValue(org.apache.commons.cli.CommandLineParser)]/[test-template-invocation:#2],killed,killed,killed,killed,killed,killed,killed,killed,killed,survived
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[test-template:testShortOptionalArgValueWithOption(org.apache.commons.cli.CommandLineParser)]/[test-template-invocation:#1],killed,killed,killed,killed,killed,killed,killed,survived,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.bug.BugCLI148Test.[engine:junit-jupiter]/[class:org.apache.commons.cli.bug.BugCLI148Test]/[method:testWorkaround2()],killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[method:testShortOptionalNArgValuesSeparated()],killed,killed,killed,killed,killed,killed,killed,killed,killed,survived
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[test-template:testShortOptionalArgValueWithOption(org.apache.commons.cli.CommandLineParser)]/[test-template-invocation:#2],killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.GnuParserTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.GnuParserTest]/[method:testLongWithoutEqualDoubleDash()],killed,killed,killed,killed,killed,killed,killed,killed,killed,survived
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.BasicParserTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.BasicParserTest]/[method:testPropertyOptionFlags()],killed,killed,killed,killed,killed,killed,killed,survived,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[test-template:testShortOptionalArgNoValueWithOption(org.apache.commons.cli.CommandLineParser)]/[test-template-invocation:#1],killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[test-template:testShortOptionalArgValuesWithOption(org.apache.commons.cli.CommandLineParser)]/[test-template-invocation:#1],killed,killed,killed,killed,killed,killed,killed,survived,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.PosixParserTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PosixParserTest]/[method:testUnambiguousPartialLongOption3()],killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.DefaultParserTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.DefaultParserTest]/[method:testUnambiguousPartialLongOption1()],killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.DefaultParserTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.DefaultParserTest]/[method:testPropertyOptionFlags()],killed,killed,killed,killed,killed,killed,killed,survived,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.GnuParserTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.GnuParserTest]/[method:testPropertyOptionFlags()],killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[method:testShortNoArgWithOption()],killed,killed,killed,killed,killed,survived,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[test-template:testLongOptionalArgValues(org.apache.commons.cli.CommandLineParser)]/[test-template-invocation:#1],killed,killed,killed,killed,killed,killed,killed,survived,killed,survived
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[method:testLongWithArg()],killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.DefaultParserTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.DefaultParserTest]/[method:testUnambiguousPartialLongOption2()],killed,survived,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValueTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValueTest]/[test-template:testLongOptionalArgValueWithOption(org.apache.commons.cli.CommandLineParser)]/[test-template-invocation:#1],killed,killed,killed,killed,killed,killed,killed,killed,killed,survived
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.OptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.OptionBuilderTest]/[method:testBaseOptionCharOpt()],survived,killed,killed,killed,killed,killed,killed,killed,killed,killed
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.ValuesTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.ValuesTest]/[method:testMultipleArgValues()],survived,survived,survived,survived,killed,killed,survived,survived,survived,survived
org.apache.commons.cli.OptionBuilder,create,(Ljava/lang/String;)Lorg/apache/commons/cli/Option;,"[53, 61]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.commons.cli.PosixParserTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PosixParserTest]/[method:testMissingRequiredGroup()],survived,survived,survived,survived,killed,survived,survived,survived,survived,survived
