seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,345411,347066,349828,357702,343350,351053,349068,1.0
sgl_grp,324375,315497,284021,284846,285428,285723,296648,0.85
clz_clz-cvg_def,365967,370695,356999,359132,367366,367122,364547,1.044
clz_ln-cvg_def,366970,364558,355760,357073,365679,370286,363388,1.041
n-tst_clz-cvg_def,340577,345267,331964,333995,329911,331247,335494,0.961
n-tst_ln-cvg_def,347687,346578,326396,323956,329516,326245,333396,0.955
n-tst_clz-sim_def,321001,328237,321822,318734,327493,317311,322433,0.924
n-tst_clz-diff_def,331767,331540,331327,327902,341080,327024,331773,0.95
n-tst_clz-ext_def,339394,328590,325953,328403,325640,323819,328633,0.941
n-tst_ln-ext_def,334182,317569,322514,316947,322252,319303,322128,0.923
01-tst_clz-cvg_def,332594,359113,357336,334947,338375,349285,345275,0.989
01-tst_ln-cvg_def,330965,357187,354996,335721,342112,351281,345377,0.989
