seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,135557,130990,134810,142418,130802,132937,134586,1.0
sgl_grp,109942,113676,109941,110556,116625,115596,112723,0.838
def_ln-freq_def,140725,141455,140251,140931,141881,141531,141129,1.049
def_def_shuf,143896,143823,142687,143694,143689,142311,143350,1.065
clz_clz-cvg_def,112956,112741,112404,113402,113168,111179,112642,0.837
clz_ln-cvg_def,112736,112233,111478,112243,112238,112167,112182,0.834
n-tst_clz-cvg_def,98694,97217,97650,97230,96734,97172,97450,0.724
n-tst_ln-cvg_def,97855,97488,97202,97534,97578,97762,97570,0.725
n-tst_clz-sim_def,97568,98381,98175,98362,97544,97652,97947,0.728
n-tst_clz-diff_def,98410,100476,99901,98410,99307,98034,99090,0.736
n-tst_clz-ext_def,99203,97819,97756,97770,97968,99068,98264,0.73
n-tst_ln-ext_def,98403,98583,98843,99182,98706,98799,98753,0.734
01-tst_clz-cvg_def,104393,104517,104037,103988,104016,101942,103816,0.771
01-tst_ln-cvg_def,103557,103877,103458,103505,102594,103105,103349,0.768
