seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,89718,90520,79035,75254,73672,73397,80266,1.0
sgl_grp,72200,68327,63973,63564,63781,67830,66612,0.83
clz_clz-cvg_def,76755,76105,71945,75888,74192,72440,74554,0.929
clz_ln-cvg_def,72637,74273,72870,74614,74639,72312,73558,0.916
n-tst_clz-cvg_def,68717,69976,71847,70952,70923,68480,70149,0.874
n-tst_ln-cvg_def,69971,70396,72439,70365,72077,69935,70864,0.883
n-tst_clz-sim_def,73659,77176,80197,79704,78116,76530,77564,0.966
n-tst_clz-diff_def,70605,74136,73758,74495,70578,70637,72368,0.902
n-tst_clz-ext_def,69603,72171,70851,69623,70141,74102,71082,0.886
n-tst_ln-ext_def,66820,71930,65661,68017,67197,71916,68590,0.855
01-tst_clz-cvg_def,76807,78902,72825,72303,75295,75884,75336,0.939
01-tst_ln-cvg_def,74460,76062,75139,75624,73267,75490,75007,0.934
