seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,491146,645449,630237,631482,627671,489978,585994,1.0
sgl_grp,517881,503502,503688,459482,463330,462420,485050,0.828
def_ln-freq_def,536900,559777,554341,573368,582299,591531,566369,0.967
def_def_shuf,544442,542594,561049,554694,557132,560532,553407,0.944
clz_clz-cvg_def,515184,510350,528145,512852,515762,511817,515685,0.88
clz_ln-cvg_def,513334,516295,513513,519343,510870,516147,514917,0.879
n-tst_clz-cvg_def,509930,513058,509990,512708,508850,511258,510966,0.872
n-tst_ln-cvg_def,516255,516876,514755,518388,524269,517435,517996,0.884
n-tst_clz-sim_def,530996,532509,541603,529215,529541,532392,532709,0.909
n-tst_clz-diff_def,515359,512563,508308,510987,510896,507547,510943,0.872
n-tst_clz-ext_def,515827,514482,508903,534018,615676,636291,554200,0.946
n-tst_ln-ext_def,512430,517846,513434,527803,611767,638873,553692,0.945
01-tst_clz-cvg_def,518310,525520,524587,548442,518558,527941,527226,0.9
01-tst_ln-cvg_def,519100,523581,517690,514352,527558,518767,520175,0.888
