seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,115094,117680,117194,114717,116949,117274,116485,1.0
sgl_grp,98457,93026,92149,96348,81893,81676,90592,0.778
def_ln-freq_def,140787,144527,141440,146849,141569,143446,143103,1.229
def_def_shuf,139381,142948,140961,143767,141333,140769,141526,1.215
clz_clz-cvg_def,108880,114092,107510,103618,115788,117645,111256,0.955
clz_ln-cvg_def,112967,106117,110274,119200,113111,116464,113022,0.97
n-tst_clz-cvg_def,98970,77818,79409,79016,78718,79707,82273,0.706
n-tst_ln-cvg_def,79750,79709,82041,79553,84175,106531,85293,0.732
n-tst_clz-sim_def,122083,117495,113503,116099,112792,110386,115393,0.991
n-tst_clz-diff_def,129488,121167,111956,115391,112707,109609,116720,1.002
n-tst_clz-ext_def,105827,110769,103162,101626,103401,127426,108702,0.933
n-tst_ln-ext_def,106758,105572,104064,100109,102983,117191,106113,0.911
01-tst_clz-cvg_def,114198,111882,121504,114720,109310,114955,114428,0.982
01-tst_ln-cvg_def,116391,110616,126882,115011,111020,117132,116175,0.997
