seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,827439,825908,811954,827425,827579,807805,821352,1.0
sgl_grp,778109,720763,709789,841137,787085,811761,774774,0.943
def_ln-freq_def,842601,842020,838479,826569,839819,832261,836958,1.019
def_def_shuf,828689,810009,823159,817456,826480,816513,820384,0.999
clz_clz-cvg_def,828728,816964,818804,822521,809157,816751,818821,0.997
clz_ln-cvg_def,816070,821361,834490,815466,809186,820033,819434,0.998
n-tst_clz-cvg_def,761033,777310,782220,757184,756191,756394,765055,0.931
n-tst_ln-cvg_def,790964,760096,786180,774829,792846,762748,777944,0.947
n-tst_clz-sim_def,778337,773666,781628,777289,780896,792362,780696,0.951
n-tst_clz-diff_def,775476,779484,788391,779562,770239,794430,781264,0.951
n-tst_clz-ext_def,782696,771296,786329,804806,768367,783655,782858,0.953
n-tst_ln-ext_def,793660,764408,785303,794041,773699,777226,781390,0.951
01-tst_clz-cvg_def,773980,783365,781084,786161,794065,769286,781324,0.951
01-tst_ln-cvg_def,777592,780002,777306,775129,772386,779879,777049,0.946
