project,seed1,seed2,T-test,U-test
commons-cli,default,by_clazz,0.002,0.002
commons-cli,default,by_line,0.161,0.240
commons-cli,by_clazz,by_line,0.006,0.002
commons-csv,default,by_clazz,0.009,0.026
commons-csv,default,by_line,0.509,0.818
commons-csv,by_clazz,by_line,0.044,0.041
commons-codec,default,by_clazz,0.001,0.002
commons-codec,default,by_line,0.001,0.002
commons-codec,by_clazz,by_line,0.525,0.699
commons-net,default,by_clazz,0.963,0.394
commons-net,default,by_line,0.672,0.394
commons-net,by_clazz,by_line,0.002,0.009
delight-nashorn-sandbox,default,by_clazz,0.258,1.000
delight-nashorn-sandbox,default,by_line,0.313,1.000
delight-nashorn-sandbox,by_clazz,by_line,0.329,0.180
empire-db,default,by_clazz,0.222,0.394
empire-db,default,by_line,0.202,0.394
empire-db,by_clazz,by_line,0.873,1.000
jimfs,default,by_clazz,0.000,0.002
jimfs,default,by_line,0.000,0.002
jimfs,by_clazz,by_line,0.373,0.310
httpcore,default,by_clazz,0.000,0.002
httpcore,default,by_line,0.000,0.002
httpcore,by_clazz,by_line,0.066,0.065
handlebars.java,default,by_clazz,0.034,0.065
handlebars.java,default,by_line,0.015,0.065
handlebars.java,by_clazz,by_line,0.001,0.002
riptide,default,by_clazz,0.000,0.002
riptide,default,by_line,0.000,0.002
riptide,by_clazz,by_line,0.609,0.589
