seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,/avg. fastest
default,7078809,7078712,7086787,7088892,7117456,7110603,7093543,1.0,
by_clazz,7092313,7093393,7094851,7093768,7095320,7093562,7093868,1.0,
by_line,7094629,7096439,7095693,7097178,7097777,7097229,7096491,1.0,
