seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,359664,364953,316624,335614,328558,347617,342172,1.0
sgl_grp,307369,301844,302125,305859,312943,303068,305535,0.893
def_ln-freq_def,319335,319535,322473,323203,322488,324200,321872,0.941
def_def_shuf,329213,341802,324457,328738,324958,330857,330004,0.964
clz_clz-cvg_def,317903,318828,320256,320771,319906,325014,320446,0.937
clz_ln-cvg_def,319819,317420,318765,319154,319750,319661,319095,0.933
n-tst_clz-cvg_def,317979,318995,317728,315412,318950,317364,317738,0.929
n-tst_ln-cvg_def,317946,320646,315551,316636,317208,316457,317407,0.928
n-tst_clz-sim_def,323145,322488,326189,325501,321556,319826,323118,0.944
n-tst_clz-diff_def,324713,322780,323021,321358,326075,326217,324027,0.947
n-tst_clz-ext_def,314040,316512,317716,317183,317317,317162,316655,0.925
n-tst_ln-ext_def,311784,313340,314669,317601,316899,316366,315110,0.921
01-tst_clz-cvg_def,314525,318242,316060,320174,322036,319863,318483,0.931
01-tst_ln-cvg_def,320104,319922,321847,318103,319911,317574,319577,0.934
