seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,158728,165170,177308,156489,158489,154702,161814,1.0
sgl_grp,112837,110119,109824,110169,119735,120974,113943,0.704
def_ln-freq_def,161979,162674,162405,162547,163177,162594,162563,1.005
def_def_shuf,159765,160837,159849,160570,161142,160841,160501,0.992
clz_clz-cvg_def,151549,149791,151340,150176,150005,149819,150447,0.93
clz_ln-cvg_def,150529,150937,153042,150045,151101,150726,151063,0.934
n-tst_clz-cvg_def,149301,147961,147688,146704,145608,147131,147399,0.911
n-tst_ln-cvg_def,148486,148095,148250,147508,146435,146670,147574,0.912
n-tst_clz-sim_def,143978,145549,146270,145383,145876,146022,145513,0.899
n-tst_clz-diff_def,144638,147134,147529,147599,147787,146991,146946,0.908
n-tst_clz-ext_def,144269,146205,145609,146522,145407,145644,145609,0.9
n-tst_ln-ext_def,144668,146475,146013,146441,146280,144938,145802,0.901
01-tst_clz-cvg_def,148169,148054,149342,149356,150603,148041,148928,0.92
01-tst_ln-cvg_def,149754,149410,149833,150049,150044,149878,149828,0.926
