project,seed1,seed2,T-test,U-test,ratio(avg. fastest/avg. seed)
commons-codec,2024,fastest,0.020,0.065,1.1288274107827532
commons-codec,31415,99999,0.582,0.589,
commons-codec,31415,fastest,0.005,0.009,0.9167962593254176
commons-codec,99999,fastest,0.252,0.589,0.9423137131112006
delight-nashorn-sandbox,0,42,0.000,0.002,
delight-nashorn-sandbox,0,123,0.183,0.240,
delight-nashorn-sandbox,0,216,0.862,0.937,
delight-nashorn-sandbox,0,1202,0.962,0.937,
delight-nashorn-sandbox,0,1999,0.316,0.394,
delight-nashorn-sandbox,0,2002,0.453,0.310,
delight-nashorn-sandbox,0,2024,0.407,0.394,
delight-nashorn-sandbox,0,31415,0.003,0.004,
delight-nashorn-sandbox,0,99999,0.002,0.009,
delight-nashorn-sandbox,0,fastest,0.011,0.015,0.8760440471697961
delight-nashorn-sandbox,42,123,0.004,0.041,
delight-nashorn-sandbox,42,216,0.000,0.002,
delight-nashorn-sandbox,42,1202,0.003,0.002,
delight-nashorn-sandbox,42,1999,0.070,0.240,
delight-nashorn-sandbox,42,2002,0.036,0.065,
delight-nashorn-sandbox,42,2024,0.002,0.002,
delight-nashorn-sandbox,42,31415,0.000,0.002,
delight-nashorn-sandbox,42,99999,0.000,0.002,
delight-nashorn-sandbox,42,fastest,0.035,0.240,1.0885592054188975
delight-nashorn-sandbox,123,216,0.185,0.310,
delight-nashorn-sandbox,123,1202,0.344,0.589,
delight-nashorn-sandbox,123,1999,0.914,0.699,
delight-nashorn-sandbox,123,2002,0.867,0.937,
delight-nashorn-sandbox,123,2024,0.673,0.699,
delight-nashorn-sandbox,123,31415,0.195,0.180,
delight-nashorn-sandbox,123,99999,0.141,0.132,
delight-nashorn-sandbox,123,fastest,0.208,0.180,0.9347125179450824
delight-nashorn-sandbox,216,1202,0.864,0.937,
delight-nashorn-sandbox,216,1999,0.294,0.394,
delight-nashorn-sandbox,216,2002,0.416,0.310,
delight-nashorn-sandbox,216,2024,0.376,0.310,
delight-nashorn-sandbox,216,31415,0.009,0.015,
delight-nashorn-sandbox,216,99999,0.006,0.015,
delight-nashorn-sandbox,216,fastest,0.017,0.026,0.8692067912530538
delight-nashorn-sandbox,1202,1999,0.409,0.180,
delight-nashorn-sandbox,1202,2002,0.547,0.394,
delight-nashorn-sandbox,1202,2024,0.560,0.699,
delight-nashorn-sandbox,1202,31415,0.053,0.041,
delight-nashorn-sandbox,1202,99999,0.041,0.065,
delight-nashorn-sandbox,1202,fastest,0.060,0.065,0.8784649053355584
delight-nashorn-sandbox,1999,2002,0.822,0.937,
delight-nashorn-sandbox,1999,2024,0.684,0.589,
delight-nashorn-sandbox,1999,31415,0.495,0.937,
delight-nashorn-sandbox,1999,99999,0.428,0.699,
delight-nashorn-sandbox,1999,fastest,0.451,0.937,0.9425679943888021
delight-nashorn-sandbox,2002,2024,0.884,0.818,
delight-nashorn-sandbox,2002,31415,0.318,0.937,
delight-nashorn-sandbox,2002,99999,0.268,0.818,
delight-nashorn-sandbox,2002,fastest,0.296,0.589,0.922998296131784
delight-nashorn-sandbox,2024,31415,0.097,0.180,
delight-nashorn-sandbox,2024,99999,0.069,0.093,
delight-nashorn-sandbox,2024,fastest,0.112,0.180,0.9128186045255734
delight-nashorn-sandbox,31415,99999,0.724,0.589,
delight-nashorn-sandbox,31415,fastest,0.796,0.818,0.9902004217864414
delight-nashorn-sandbox,99999,fastest,0.963,0.818,0.9982568638868153
jimfs,0,42,0.174,0.485,
jimfs,0,123,0.760,0.937,
jimfs,0,216,0.022,0.041,
jimfs,0,1202,0.027,0.041,
jimfs,0,1999,0.002,0.004,
jimfs,0,2002,0.149,0.394,
jimfs,0,2024,0.103,0.240,
jimfs,0,31415,0.032,0.065,
jimfs,0,99999,0.227,0.394,
jimfs,0,fastest,0.014,0.009,0.8183836278802376
jimfs,42,123,0.189,0.310,
jimfs,42,216,0.000,0.002,
jimfs,42,1202,0.000,0.002,
jimfs,42,1999,0.000,0.002,
jimfs,42,2002,0.830,0.937,
jimfs,42,2024,0.386,0.699,
jimfs,42,31415,0.009,0.009,
jimfs,42,99999,0.589,0.485,
jimfs,42,fastest,0.001,0.002,0.9015920918819735
jimfs,123,216,0.143,0.394,
jimfs,123,1202,0.159,0.394,
jimfs,123,1999,0.025,0.132,
jimfs,123,2002,0.172,0.180,
jimfs,123,2024,0.131,0.180,
jimfs,123,31415,0.061,0.065,
jimfs,123,99999,0.229,0.485,
jimfs,123,fastest,0.035,0.026,0.7918180409544924
jimfs,216,1202,0.879,0.818,
jimfs,216,1999,0.023,0.015,
jimfs,216,2002,0.000,0.002,
jimfs,216,2024,0.000,0.002,
jimfs,216,31415,0.000,0.002,
jimfs,216,99999,0.000,0.002,
jimfs,216,fastest,0.000,0.002,0.6938530062860632
jimfs,1202,1999,0.019,0.015,
jimfs,1202,2002,0.000,0.002,
jimfs,1202,2024,0.000,0.002,
jimfs,1202,31415,0.000,0.002,
jimfs,1202,99999,0.000,0.002,
jimfs,1202,fastest,0.000,0.002,0.6974063153503971
jimfs,1999,2002,0.000,0.002,
jimfs,1999,2024,0.000,0.002,
jimfs,1999,31415,0.000,0.002,
jimfs,1999,99999,0.000,0.002,
jimfs,1999,fastest,0.000,0.002,0.6436403025398485
jimfs,2002,2024,0.421,0.394,
jimfs,2002,31415,0.003,0.009,
jimfs,2002,99999,0.378,0.589,
jimfs,2002,fastest,0.000,0.002,0.9060156280721581
jimfs,2024,31415,0.051,0.132,
jimfs,2024,99999,0.147,0.132,
jimfs,2024,fastest,0.003,0.009,0.92258545955596
jimfs,31415,99999,0.001,0.009,
jimfs,31415,fastest,0.036,0.015,0.966066744338176
jimfs,99999,fastest,0.000,0.002,0.8898349752611349
assertj-assertions-generator,0,42,0.000,0.002,
assertj-assertions-generator,0,123,0.698,0.699,
assertj-assertions-generator,0,216,0.000,0.002,
assertj-assertions-generator,0,1202,0.001,0.002,
assertj-assertions-generator,0,1999,0.746,1.000,
assertj-assertions-generator,0,2002,0.000,0.002,
assertj-assertions-generator,0,2024,0.622,0.394,
assertj-assertions-generator,0,31415,0.628,0.240,
assertj-assertions-generator,0,99999,0.000,0.002,
assertj-assertions-generator,0,fastest,0.000,0.002,0.9239928533369511
assertj-assertions-generator,42,123,0.000,0.002,
assertj-assertions-generator,42,216,0.221,0.240,
assertj-assertions-generator,42,1202,0.002,0.004,
assertj-assertions-generator,42,1999,0.000,0.002,
assertj-assertions-generator,42,2002,0.265,0.589,
assertj-assertions-generator,42,2024,0.000,0.002,
assertj-assertions-generator,42,31415,0.000,0.002,
assertj-assertions-generator,42,99999,0.210,0.093,
assertj-assertions-generator,42,fastest,0.000,0.002,1.311129522717346
assertj-assertions-generator,123,216,0.000,0.002,
assertj-assertions-generator,123,1202,0.002,0.002,
assertj-assertions-generator,123,1999,0.630,0.589,
assertj-assertions-generator,123,2002,0.000,0.002,
assertj-assertions-generator,123,2024,0.524,0.310,
assertj-assertions-generator,123,31415,0.537,0.589,
assertj-assertions-generator,123,99999,0.000,0.002,
assertj-assertions-generator,123,fastest,0.006,0.004,0.9158255109831003
assertj-assertions-generator,216,1202,0.001,0.002,
assertj-assertions-generator,216,1999,0.000,0.002,
assertj-assertions-generator,216,2002,0.763,0.937,
assertj-assertions-generator,216,2024,0.000,0.002,
assertj-assertions-generator,216,31415,0.000,0.002,
assertj-assertions-generator,216,99999,0.098,0.009,
assertj-assertions-generator,216,fastest,0.000,0.002,1.3355379960359297
assertj-assertions-generator,1202,1999,0.020,0.015,
assertj-assertions-generator,1202,2002,0.001,0.002,
assertj-assertions-generator,1202,2024,0.010,0.015,
