seed,round0,round1,round2,round3,round4,round5
0,406439,369345,447318,428979,418317,399318
42,331882,333538,331451,331327,332287,327078
123,403469,415571,379098,364643,329571,422349
216,445575,451712,389841,438224,400549,363242
1202,441881,456183,467459,363801,364612,368974
1999,465510,455826,361509,353672,327862,331031
2002,488029,398545,427365,349298,326801,354040
2024,391611,437356,383480,365980,347774,444018
31415,365787,359389,354552,359638,352772,392854
99999,374357,361201,370086,361712,363572,336430
fastest,388543,399619,363285,330324,327951,353858
