seed,round0,round1,round2,round3,round4,round5
0,140856,141108,140538,141033,140775,142362
42,189786,203363,222397,234069,213970,222204
123,224953,231645,212053,210797,211321,218111
216,182657,182241,181504,180078,181230,173095
1202,202682,203905,221297,236648,217216,225553
1999,226476,230897,213172,215417,213183,204545
2002,177788,181021,187302,182880,184420,186823
2024,193411,209909,232734,243766,218344,228515
31415,222262,228693,210434,210269,214809,209085
99999,176286,180234,180068,183078,184011,172578
