seed,round0,round1,round2,round3,round4,round5
0,449652,447350,442093,452283,445222,448442
42,511372,482965,509417,617212,596324,578352
123,582302,565337,591051,607217,558310,563994
216,449730,451530,452492,446087,449339,446283
1202,576647,578806,584686,610710,620764,565234
1999,558103,568964,586869,599399,619229,604583
2002,568376,532987,500980,487885,539692,571376
2024,603964,622181,552601,548780,551879,586044
31415,506207,500154,501719,505991,473607,453089
99999,565091,524251,484959,486705,526676,577857
fastest,481678,450946,451083,460142,465205,453820
