seed,round0,round1,round2,round3,round4,round5
0,222188,219955,209995,213827,210220,222914
42,137829,133983,140540,133045,135284,131011
123,162135,166343,167652,154825,168127,155504
216,101824,102396,101716,101349,103428,104725
1202,125386,131726,162452,160538,160718,161395
1999,153209,156632,146117,165138,159042,166721
2002,183282,187576,188082,189891,184320,187759
2024,158589,165662,156434,167402,159564,162724
31415,164065,167513,164341,170927,161482,162215
99999,184817,188862,186025,184099,183982,187025
