seed,round0,round1,round2,round3,round4,round5
0,984929,986765,987611,977741,978117,961397
42,750828,748720,742657,752525,753111,740094
123,1065525,959810,961571,952041,1085447,1125494
216,1082584,995210,994133,978603,1146693,1163050
1202,997047,1004875,1017635,996083,993642,974795
1999,1121216,1201813,1022053,967694,1101694,1173107
2002,1140537,1150613,1015049,971217,1143947,1169255
2024,788282,744476,752181,742122,752479,1063915
31415,1076347,953334,1116301,1164290,1024617,1042188
99999,1204545,1183156,996509,989696,854004,884244
