clazz,method,methodDesc,indexes,mutator,test,default,single-group,single-group_errors-at-the-end
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.TestLike.testMapperWithStartPage_OrderBy(com.github.pagehelper.test.basic.TestLike),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.IPageTest.testIPage(com.github.pagehelper.test.basic.IPageTest),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.TestLike.testMapperWithStartPage_OrderBy_issues_641(com.github.pagehelper.test.basic.TestLike),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.pagesize.PageSizeLessThenOrEqualZeroTest.testWithStartPage(com.github.pagehelper.test.pagesize.PageSizeLessThenOrEqualZeroTest),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.parameter.TestParameterNone.testMapperWithStartPage(com.github.pagehelper.test.basic.parameter.TestParameterNone),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.example.TestExample.testNull(com.github.pagehelper.test.basic.example.TestExample),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.provider.TestProvider.testUserSelect(com.github.pagehelper.test.basic.provider.TestProvider),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.parameter.TestParameterOne.testMapperWithStartPage(com.github.pagehelper.test.basic.parameter.TestParameterOne),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.cache.SecondCacheTest.test3(com.github.pagehelper.test.basic.cache.SecondCacheTest),False,True,True
com.github.pagehelper.page.PageAutoDialect,autoGetDialect,(Lorg/apache/ibatis/mapping/MappedStatement;)Lcom/github/pagehelper/dialect/AbstractHelperDialect;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,com.github.pagehelper.test.basic.cache.SecondCacheTest.test2(com.github.pagehelper.test.basic.cache.SecondCacheTest),False,True,True
