clazz,method,methodDesc,indexes,mutator,test,default,single-group,single-group_errors-at-the-end,by-proportions
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testRequiredOption()],True,True,True,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testUntypedPattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testExistingFilePattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testExistingFilePatternFileNotExist()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testObjectPattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testURLPattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testClassPattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testNumberPattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testSimplePattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[154],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testEmptyPattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testRequiredOption()],True,True,True,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testUntypedPattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testExistingFilePattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testExistingFilePatternFileNotExist()],True,True,True,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testObjectPattern()],True,True,True,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testURLPattern()],True,True,True,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testClassPattern()],True,True,True,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testNumberPattern()],True,True,True,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[161],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testSimplePattern()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[186],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testRequiredOption()],False,False,False,
org.apache.commons.cli.PatternOptionBuilder,parsePattern,(Ljava/lang/String;)Lorg/apache/commons/cli/Options;,[186],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,org.apache.commons.cli.PatternOptionBuilderTest.[engine:junit-jupiter]/[class:org.apache.commons.cli.PatternOptionBuilderTest]/[method:testUntypedPattern()],False,False,False,
