clazz,method,methodDesc,indexes,mutator,test,default,single-group,single-group_errors-at-the-end,by-proportions,double
me.zhyd.oauth.request.AuthGiteeRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthGiteeRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[22],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.request.AuthXmlyRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[50],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.model.AuthResponse$AuthResponseBuilder,build,()Lme/zhyd/oauth/model/AuthResponse;,[12],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.revoke(me.zhyd.oauth.request.AuthExtendRequestTest),False,False,False,,False
me.zhyd.oauth.model.AuthResponse$AuthResponseBuilder,build,()Lme/zhyd/oauth/model/AuthResponse;,[12],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.refresh(me.zhyd.oauth.request.AuthExtendRequestTest),False,False,False,,False
me.zhyd.oauth.model.AuthResponse$AuthResponseBuilder,build,()Lme/zhyd/oauth/model/AuthResponse;,[12],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.login(me.zhyd.oauth.request.AuthExtendRequestTest),False,False,False,,False
me.zhyd.oauth.model.AuthResponse$AuthResponseBuilder,code,(I)Lme/zhyd/oauth/model/AuthResponse$AuthResponseBuilder;,[7],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.revoke(me.zhyd.oauth.request.AuthExtendRequestTest),False,False,False,,False
me.zhyd.oauth.model.AuthResponse$AuthResponseBuilder,code,(I)Lme/zhyd/oauth/model/AuthResponse$AuthResponseBuilder;,[7],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.refresh(me.zhyd.oauth.request.AuthExtendRequestTest),False,False,False,,False
me.zhyd.oauth.model.AuthResponse$AuthResponseBuilder,code,(I)Lme/zhyd/oauth/model/AuthResponse$AuthResponseBuilder;,[7],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.login(me.zhyd.oauth.request.AuthExtendRequestTest),False,False,False,,False
me.zhyd.oauth.model.AuthResponse$AuthResponseBuilder,data,(Ljava/lang/Object;)Lme/zhyd/oauth/model/AuthResponse$AuthResponseBuilder;,[7],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.refresh(me.zhyd.oauth.request.AuthExtendRequestTest),False,False,False,,False
me.zhyd.oauth.model.AuthResponse$AuthResponseBuilder,data,(Ljava/lang/Object;)Lme/zhyd/oauth/model/AuthResponse$AuthResponseBuilder;,[7],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.login(me.zhyd.oauth.request.AuthExtendRequestTest),False,False,False,,False
me.zhyd.oauth.request.AbstractAuthDingtalkRequest,authorize,(Ljava/lang/String;)Ljava/lang/String;,[43],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.config.AuthDefaultSource$48,getTargetClass,()Ljava/lang/Class;,[4],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),False,False,False,,False
me.zhyd.oauth.config.AuthDefaultSource$51,getTargetClass,()Ljava/lang/Class;,[4],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),True,True,True,,True
me.zhyd.oauth.cache.AuthDefaultCache,containsKey,(Ljava/lang/String;)Z,[37],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,me.zhyd.oauth.request.AuthExtendRequestTest.login(me.zhyd.oauth.request.AuthExtendRequestTest),,,False,,False
me.zhyd.oauth.AuthRequestBuilder,authConfig,(Lme/zhyd/oauth/config/AuthConfig;)Lme/zhyd/oauth/AuthRequestBuilder;,[9],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,authConfig,(Lme/zhyd/oauth/config/AuthConfig;)Lme/zhyd/oauth/AuthRequestBuilder;,[9],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,authConfig,(Lme/zhyd/oauth/config/AuthConfig;)Lme/zhyd/oauth/AuthRequestBuilder;,[9],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build4(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[6],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build3(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
me.zhyd.oauth.AuthRequestBuilder,build,()Lme/zhyd/oauth/request/AuthRequest;,[6],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,me.zhyd.oauth.AuthRequestBuilderTest.build2(me.zhyd.oauth.AuthRequestBuilderTest),,,,,False
