clazz,method,methodDesc,indexes,mutator,test,default,single-group,single-group_errors-at-the-end
org.apache.commons.collections4.map.AbstractHashedMap,ensureCapacity,(I)V,[65],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testMapContainsValue()],True,False,False
org.apache.commons.collections4.map.AbstractHashedMap,ensureCapacity,(I)V,[65],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testMapEquals()],True,False,False
org.apache.commons.collections4.map.AbstractHashedMap,ensureCapacity,(I)V,[65],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testMapRemove()],True,False,False
org.apache.commons.collections4.map.AbstractHashedMap,ensureCapacity,(I)V,[65],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testMapPut()],True,False,False
org.apache.commons.collections4.map.AbstractHashedMap,ensureCapacity,(I)V,[65],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testMapPutIfAbsent()],True,False,False
org.apache.commons.collections4.map.AbstractHashedMap,ensureCapacity,(I)V,[65],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testMapComputeIfAbsent()],True,False,False
org.apache.commons.collections4.map.AbstractHashedMap,ensureCapacity,(I)V,[65],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testMapComputeIfPresent()],True,False,False
org.apache.commons.collections4.map.AbstractHashedMap,hashIndex,(II)I,[6],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testMapComputeIfPresentOnEmpty()],False,True,True
org.apache.commons.collections4.map.AbstractHashedMap,hashIndex,(II)I,[6],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testHashEntry()],False,True,True
org.apache.commons.collections4.map.AbstractHashedMap,hashIndex,(II)I,[6],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.collections4.map.ReferenceIdentityMapTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ReferenceIdentityMapTest]/[method:testBasics()],False,True,True
org.apache.commons.collections4.map.ConcurrentReferenceHashMap$Segment,rehash,()I,[114],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.commons.collections4.map.ConcurrentReferenceHashMapKStrongVStrongTest.[engine:junit-jupiter]/[class:org.apache.commons.collections4.map.ConcurrentReferenceHashMapKStrongVStrongTest]/[method:testMapPutAll()],False,True,True
