clazz,method,methodDesc,indexes,mutator,test,default,single-group,single-group_errors-at-the-end,by-proportions
org.jfree.chart.axis.DateAxis,previousStandardDate,(Ljava/util/Date;Lorg/jfree/chart/axis/DateTickUnit;)Ljava/util/Date;,[660],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.chart.axis.DateAxisTest.[engine:junit-jupiter]/[class:org.jfree.chart.axis.DateAxisTest]/[method:testBug25()],True,True,False,True
org.jfree.data.time.Week,getFirstMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testGetFirstMillisecondWithCalendar()],True,True,True,
org.jfree.data.time.Week,getFirstMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testGetFirstMillisecondWithTimeZone()],False,,False,True
org.jfree.data.time.Week,getFirstMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testGetFirstMillisecond()],True,True,True,
org.jfree.data.time.Week,getFirstMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testGetStart()],True,True,True,
org.jfree.data.time.Week,getFirstMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testWeek532005()],,True,,False
org.jfree.data.time.Week,getFirstMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testWeek12005()],,True,,False
org.jfree.data.time.Week,getFirstMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testWeekIntYearConstructorWithThreadLocalCalendar()],False,,False,False
org.jfree.data.time.Week,getFirstMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testWeekIntYearConstructorWithCalendarPrototype()],False,,False,False
org.jfree.data.time.Week,getLastMillisecond,(Ljava/util/Calendar;)J,[10],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.jfree.data.time.WeekTest.[engine:junit-jupiter]/[class:org.jfree.data.time.WeekTest]/[method:testGetLastMillisecondWithTimeZone()],False,,False,True
