seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,2665,2838,2782,2734,2809,2699,2754.50,1.00
single-group,2870,2944,2889,2548,2416,2419,2681.00,0.97
single-group_random-42,2765,2696,2770,2598,2700,2616,2690.83,0.98
single-group_random-43,2820,2788,2656,2722,2809,2690,2747.50,1.00
single-group_random-44,2825,2712,2938,2877,2850,2851,2842.17,1.03
single-group_random-45,2724,2737,2788,2824,2772,2763,2768.00,1.00
single-group_random-46,2831,2654,2743,2800,2723,2713,2744.00,1.00
