seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,304,308,309,307,308,301,306.17,1.00
single-group,238,238,223,224,229,227,229.83,0.75
single-group_random-42,231,231,144,232,231,232,216.83,0.71
single-group_random-43,239,234,235,191,203,243,224.17,0.73
single-group_random-44,233,237,233,213,207,157,213.33,0.70
single-group_random-45,228,224,224,221,230,222,224.83,0.73
single-group_random-46,184,200,229,231,232,233,218.17,0.71
