logfile,replaced_ms_sum,setMutant_ms_sum,forName_ms_sum,hotSwap_ms_sum
empire-db_specific.log,38267.000000,19443.983003,11.260794,19051.432765
empire-db_multiple-plus-long.log,30956.000000,15835.636472,10.397563,15532.964055
