mutant id,default,single-group,single-group_errors-at-the-end,single-group_random-42,single-group_random-43,single-group_random-44,single-group_random-45,single-group_random-46,error count
30,TIMED_OUT,,,,,,,,1
181,TIMED_OUT,,,,,,,,1
182,TIMED_OUT,,,,,,,,1
227,TIMED_OUT,,,,,,,,1
174,TIMED_OUT,,,,,,,,1
22,TIMED_OUT,,,,,,,,1
114,,,,TIMED_OUT,,,,,1
185,,,,TIMED_OUT,,,,,1
123,,,,TIMED_OUT,,,,,1
130,,,,TIMED_OUT,,,,,1
43,,,,TIMED_OUT,,,,,1
77,,,,TIMED_OUT,,,,,1
92,,,,TIMED_OUT,,,,,1
136,,,,TIMED_OUT,,,,,1
58,,,,TIMED_OUT,,,,,1
82,,,,TIMED_OUT,,,,,1
84,,,,TIMED_OUT,,,,,1
191,,,,TIMED_OUT,,,,,1
197,,,,TIMED_OUT,,,,,1
113,,,,,TIMED_OUT,,,,1
254,,,,,TIMED_OUT,,,,1
75,,,,,TIMED_OUT,,,,1
138,,,,,TIMED_OUT,,,,1
152,,,,,TIMED_OUT,,,,1
121,,,,,TIMED_OUT,,,,1
143,,,,,TIMED_OUT,,,,1
104,,,,,TIMED_OUT,,,,1
248,,,,,TIMED_OUT,,,,1
115,,,,,,TIMED_OUT,,,1
49,,,,,,TIMED_OUT,,,1
7,,,,,,TIMED_OUT,,,1
6,,,,,,TIMED_OUT,,,1
86,,,,,,TIMED_OUT,,,1
76,,,,,,TIMED_OUT,,,1
205,,,,,,TIMED_OUT,,,1
68,,,,,,TIMED_OUT,,,1
204,,,,,,,TIMED_OUT,,1
206,,,,,,,TIMED_OUT,,1
207,,,,,,,TIMED_OUT,,1
212,,,,,,,TIMED_OUT,,1
216,,,,,,,TIMED_OUT,,1
217,,,,,,,TIMED_OUT,,1
223,,,,,,,TIMED_OUT,,1
173,,,,,,,TIMED_OUT,,1
59,,,,,,,TIMED_OUT,,1
139,,,,,,,TIMED_OUT,,1
164,,,,,,,TIMED_OUT,,1
165,,,,,,,TIMED_OUT,,1
137,,,,,,,TIMED_OUT,,1
188,,,,,,,TIMED_OUT,,1
46,,,,,,,TIMED_OUT,,1
64,,,,,,,,TIMED_OUT,1
155,TIMED_OUT,,,TIMED_OUT,,,,,2
154,TIMED_OUT,,,,,TIMED_OUT,,,2
157,TIMED_OUT,,,,TIMED_OUT,,,,2
158,TIMED_OUT,,,,,,TIMED_OUT,,2
226,TIMED_OUT,,,,TIMED_OUT,,,,2
23,TIMED_OUT,,,,,,TIMED_OUT,,2
150,,TIMED_OUT,,,,TIMED_OUT,,,2
94,,,,TIMED_OUT,TIMED_OUT,,,,2
124,,,,TIMED_OUT,,,TIMED_OUT,,2
128,,,,TIMED_OUT,,,TIMED_OUT,,2
112,,,,MEMORY_ERROR,,,TIMED_OUT,,2
35,,,,TIMED_OUT,TIMED_OUT,,,,2
48,,,,TIMED_OUT,,TIMED_OUT,,,2
56,,,,TIMED_OUT,,TIMED_OUT,,,2
63,,,,TIMED_OUT,,,,TIMED_OUT,2
144,,,,TIMED_OUT,TIMED_OUT,,,,2
52,,,,TIMED_OUT,,TIMED_OUT,,,2
60,,,,TIMED_OUT,,TIMED_OUT,,,2
62,,,,TIMED_OUT,,,TIMED_OUT,,2
79,,,,TIMED_OUT,,,TIMED_OUT,,2
11,,,,TIMED_OUT,,TIMED_OUT,,,2
15,,,,TIMED_OUT,,TIMED_OUT,,,2
126,,,,TIMED_OUT,TIMED_OUT,,,,2
129,,,,,TIMED_OUT,,,TIMED_OUT,2
135,,,,,TIMED_OUT,,TIMED_OUT,,2
159,,,,,TIMED_OUT,,TIMED_OUT,,2
178,,,,,TIMED_OUT,,TIMED_OUT,,2
179,,,,,TIMED_OUT,,TIMED_OUT,,2
125,,,,,TIMED_OUT,,TIMED_OUT,,2
163,,,,,TIMED_OUT,,TIMED_OUT,,2
106,,,,,TIMED_OUT,TIMED_OUT,,,2
187,,,,,TIMED_OUT,TIMED_OUT,,,2
18,,,,,TIMED_OUT,TIMED_OUT,,,2
116,,,,,TIMED_OUT,,TIMED_OUT,,2
140,,,,,TIMED_OUT,,,TIMED_OUT,2
98,,,,,TIMED_OUT,TIMED_OUT,,,2
36,,,,,,TIMED_OUT,,TIMED_OUT,2
74,,,,,,TIMED_OUT,TIMED_OUT,,2
85,,,,,,TIMED_OUT,,TIMED_OUT,2
134,,,,,,,TIMED_OUT,TIMED_OUT,2
80,,,,,,,TIMED_OUT,TIMED_OUT,2
28,TIMED_OUT,,,TIMED_OUT,,TIMED_OUT,,,3
160,TIMED_OUT,,,TIMED_OUT,,,TIMED_OUT,,3
169,TIMED_OUT,,,,TIMED_OUT,TIMED_OUT,,,3
180,TIMED_OUT,,,TIMED_OUT,,,TIMED_OUT,,3
41,TIMED_OUT,,,TIMED_OUT,,,,TIMED_OUT,3
39,TIMED_OUT,,,,TIMED_OUT,,,TIMED_OUT,3
151,,TIMED_OUT,,,,,TIMED_OUT,TIMED_OUT,3
42,,,,TIMED_OUT,TIMED_OUT,,,TIMED_OUT,3
69,,,,TIMED_OUT,TIMED_OUT,,TIMED_OUT,,3
9,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,3
168,,,,TIMED_OUT,TIMED_OUT,,TIMED_OUT,,3
97,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,3
10,,,,TIMED_OUT,,TIMED_OUT,TIMED_OUT,,3
12,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,3
17,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,3
67,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,3
33,,,,TIMED_OUT,TIMED_OUT,,TIMED_OUT,,3
53,,,,TIMED_OUT,,TIMED_OUT,,TIMED_OUT,3
61,,,,TIMED_OUT,,,TIMED_OUT,TIMED_OUT,3
73,,,,TIMED_OUT,,TIMED_OUT,,TIMED_OUT,3
37,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,3
81,,,,TIMED_OUT,,TIMED_OUT,,TIMED_OUT,3
14,,,,TIMED_OUT,,TIMED_OUT,MEMORY_ERROR,,3
16,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,3
19,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,3
176,,,,,TIMED_OUT,,TIMED_OUT,TIMED_OUT,3
83,,,,,TIMED_OUT,TIMED_OUT,,TIMED_OUT,3
55,,,,,TIMED_OUT,TIMED_OUT,,TIMED_OUT,3
70,,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,3
29,TIMED_OUT,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,4
146,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,,TIMED_OUT,,4
161,TIMED_OUT,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,4
170,TIMED_OUT,,,,TIMED_OUT,TIMED_OUT,,TIMED_OUT,4
40,TIMED_OUT,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,4
149,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,,TIMED_OUT,,4
21,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,,,4
24,TIMED_OUT,TIMED_OUT,TIMED_OUT,,TIMED_OUT,,,,4
25,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,TIMED_OUT,,,4
153,TIMED_OUT,,,TIMED_OUT,TIMED_OUT,,TIMED_OUT,,4
87,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,,4
96,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,,4
13,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,,TIMED_OUT,4
148,TIMED_OUT,TIMED_OUT,TIMED_OUT,,,TIMED_OUT,,TIMED_OUT,5
78,,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,5
88,TIMED_OUT,TIMED_OUT,TIMED_OUT,,TIMED_OUT,TIMED_OUT,,TIMED_OUT,6
147,MEMORY_ERROR,MEMORY_ERROR,MEMORY_ERROR,,,TIMED_OUT,TIMED_OUT,TIMED_OUT,6
95,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,,TIMED_OUT,TIMED_OUT,TIMED_OUT,7
26,TIMED_OUT,TIMED_OUT,TIMED_OUT,,MEMORY_ERROR,TIMED_OUT,TIMED_OUT,TIMED_OUT,7
20,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
27,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
34,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
31,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
32,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
38,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
47,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
44,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
45,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
54,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
66,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
71,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
89,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
93,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
90,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
99,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
100,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
110,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,TIMED_OUT,RUN_ERROR,RUN_ERROR,8
120,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,8
141,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
142,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
145,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
156,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,8
172,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,TIMED_OUT,8
171,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,8
177,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,TIMED_OUT,RUN_ERROR,RUN_ERROR,RUN_ERROR,8
183,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,8
184,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,TIMED_OUT,RUN_ERROR,TIMED_OUT,RUN_ERROR,8
249,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,8
255,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,RUN_ERROR,8
