clazz,method,methodDesc,indexes,mutator,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def
org.apache.empire.db.DBCommand,addParam,(Lorg/apache/empire/data/DataType;Ljava/lang/Object;)Lorg/apache/empire/db/DBCmdParam;,[15],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,KILLED,KILLED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBCommand,addParam,(Lorg/apache/empire/data/DataType;Ljava/lang/Object;)Lorg/apache/empire/db/DBCmdParam;,[19],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBCommand,createSQLBuilder,(Ljava/lang/String;)Lorg/apache/empire/db/DBSQLBuilder;,[16],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBCommand,getInsert,()Ljava/lang/String;,[56],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBCommand,getInsert,()Ljava/lang/String;,[179],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBCommand,getInsert,()Ljava/lang/String;,[41],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBCommand,getInsert,()Ljava/lang/String;,[204],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBCommand,getParamValues,()[Ljava/lang/Object;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBCommand,isPreparedStatementsEnabled,()Z,[5],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBCommand,set,(Lorg/apache/empire/db/expr/set/DBSetExpr;)Lorg/apache/empire/db/DBCommand;,[24],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,SURVIVED,SURVIVED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBCommand,set,(Lorg/apache/empire/db/expr/set/DBSetExpr;)Lorg/apache/empire/db/DBCommand;,[40],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,KILLED,KILLED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBCommand,set,(Lorg/apache/empire/db/expr/set/DBSetExpr;)Lorg/apache/empire/db/DBCommand;,[131],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBCommand,useCmdParam,(Lorg/apache/empire/db/DBColumnExpr;Ljava/lang/Object;)Z,[4],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBCommand,useCmdParam,(Lorg/apache/empire/db/DBColumnExpr;Ljava/lang/Object;)Z,[7],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBCommand,useCmdParam,(Lorg/apache/empire/db/DBColumnExpr;Ljava/lang/Object;)Z,[21],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBCommand,useCmdParam,(Lorg/apache/empire/db/DBColumnExpr;Ljava/lang/Object;)Z,[25],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.commons.ObjectUtils,compareEqual,(Ljava/lang/Object;Ljava/lang/Object;)Z,[5],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.commons.ObjectUtils,compareEqual,(Ljava/lang/Object;Ljava/lang/Object;)Z,[20],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
