clazz,method,methodDesc,indexes,mutator,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def
com.google.common.jimfs.RegularFile,<init>,(ILjava/nio/file/attribute/FileTime;Lcom/google/common/jimfs/HeapDisk;[[BIJ)V,[56],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED
com.google.common.jimfs.RegularFile,addBlock,([B)V,[7],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED
com.google.common.jimfs.RegularFile,addBlock,([B)V,[8],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED
com.google.common.jimfs.RegularFile,expandIfNecessary,(I)V,[7],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED
com.google.common.jimfs.RegularFile,prepareForWrite,(JJ)V,[26],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED
com.google.common.jimfs.RegularFile,prepareForWrite,(JJ)V,[47],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED
com.google.common.jimfs.RegularFile,prepareForWrite,(JJ)V,[19],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsFileChannel,beginBlocking,()Z,[16],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsFileChannel,beginBlocking,()Z,[30],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsFileChannel,beginBlocking,()Z,[30],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsFileChannel,implCloseChannel,()V,"[51, 68]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsFileChannel,implCloseChannel,()V,"[56, 73]",org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsFileChannel,read,(Ljava/nio/ByteBuffer;)I,[9],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsFileChannel,size,()J,[4],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsPath,endsWith,(Ljava/nio/file/Path;)Z,[45],org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
com.google.common.jimfs.JimfsPath,getName,(I)Lcom/google/common/jimfs/JimfsPath;,[11],org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
