project,mutant_id,clazz,mutator,default_0,default_1,default_2,default_3,default_4,default_5,single-group_0,single-group_1,single-group_2,single-group_3,single-group_4,single-group_5,by-proportions_0,by-proportions_1,by-proportions_2,by-proportions_3,by-proportions_4,by-proportions_5
commons-cli,221,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,223,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,225,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,227,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,228,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,243,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,248,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,250,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,259,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
commons-cli,261,org.apache.commons.cli.HelpFormatter,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT,TIMED_OUT
