clazz,method,methodDesc,indexes,mutator,0,42,123,216,1202,1999,2002,2024,31415,99999,default,fastest
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,10,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,211,108,157,91,128,163,151,150,192,150,158,116
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,10,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,147,90,125,78,96,121,116,118,135,122,118,88
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,24,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,118,82,134,74,90,101,103,99,101,96,102,87
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,28,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,24,19,25,16,20,28,28,20,23,19,22,20
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,36,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,4,3,3,3,3,6,4,3,4,4,4,3
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,77,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,99,74,99,64,90,115,118,78,96,90,86,98
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,82,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,68,56,76,46,70,60,70,61,69,56,58,57
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,83,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,99,56,84,49,100,68,102,67,89,65,70,60
org.apache.commons.cli.PosixParser,burstToken,(Ljava/lang/String;Z)V,91,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,46,47,70,42,52,55,68,47,60,52,50,52
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,103,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,335,269,358,219,300,343,358,331,304,284,300,255
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,103,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,260,242,289,183,207,297,284,232,258,248,228,211
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,143,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,217,195,213,141,172,240,250,168,198,206,196,187
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,151,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,9,9,12,8,10,12,14,9,12,12,13,10
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,164,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,340,284,328,230,312,451,428,307,359,367,353,333
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,170,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,445,283,353,228,339,394,413,335,332,337,348,268
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,174,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,97,62,93,57,80,87,95,92,88,78,78,64
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,181,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,363,262,346,217,284,330,396,308,274,310,300,253
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,190,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,162,54,64,53,65,80,105,63,66,82,65,54
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,202,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,10,7,8,6,10,13,13,10,12,9,8,9
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,202,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,10,8,9,6,7,12,12,10,12,14,8,8
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,21,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,664,383,405,326,458,622,604,414,434,433,448,382
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,234,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,8,8,8,5,7,8,10,10,6,9,8,6
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,244,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,116,52,60,46,57,81,110,65,69,86,78,51
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,252,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,273,244,284,199,272,351,410,276,303,274,346,234
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,258,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,422,338,392,280,368,404,635,418,535,435,492,329
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,270,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,467,343,514,288,470,485,507,509,450,484,470,401
org.apache.commons.cli.PosixParser,flatten,(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;,31,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,418,342,634,276,402,459,458,467,450,430,404,443
