clazz,method,methodDesc,indexes,mutator,0,42,123,216,1202,1999,2002,2024,31415,99999,default,fastest
org.apache.commons.codec.digest.HmacUtils,getHmacMd5,([B)Ljavax/crypto/Mac;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,15,11,13,14,17,21,30,11,18,14,14,11
org.apache.commons.codec.digest.HmacUtils,getHmacSha1,([B)Ljavax/crypto/Mac;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,17,11,18,14,18,24,36,12,21,16,14,11
org.apache.commons.codec.digest.HmacUtils,getHmacSha256,([B)Ljavax/crypto/Mac;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,5,3,3,4,5,4,7,3,4,4,4,3
org.apache.commons.codec.digest.HmacUtils,getHmacSha384,([B)Ljavax/crypto/Mac;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,4,3,3,4,4,4,9,3,3,4,4,3
org.apache.commons.codec.digest.HmacUtils,getHmacSha512,([B)Ljavax/crypto/Mac;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,4,4,3,4,5,4,10,3,4,4,4,3
org.apache.commons.codec.digest.HmacUtils,getInitializedMac,(Ljava/lang/String;[B)Ljavax/crypto/Mac;,30,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,508,372,449,478,539,540,665,382,492,486,443,381
org.apache.commons.codec.digest.HmacUtils,getInitializedMac,(Ljava/lang/String;[B)Ljavax/crypto/Mac;,35,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,423,339,420,422,493,510,533,344,412,478,400,348
org.apache.commons.codec.digest.HmacUtils,getInitializedMac,(Ljava/lang/String;[B)Ljavax/crypto/Mac;,4,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,845,631,762,817,854,940,976,642,768,950,848,658
org.apache.commons.codec.digest.HmacUtils,getInitializedMac,(Lorg/apache/commons/codec/digest/HmacAlgorithms;[B)Ljavax/crypto/Mac;,7,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,68,49,64,63,67,87,76,49,61,81,77,49
org.apache.commons.codec.digest.HmacUtils,hmac,(Ljava/io/InputStream;)[B,18,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,124,92,108,117,134,140,149,92,118,140,117,93
