clazz,method,methodDesc,indexes,mutator,0,42,123,216,1202,1999,2002,2024,31415,99999,default,fastest
org.apache.commons.csv.ExtendedBufferedReader,close,()V,9,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,3079,3919,4412,3097,4005,4054,3814,4418,3385,3793,3480,3214
org.apache.commons.csv.ExtendedBufferedReader,getLastChar,()I,5,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,3015,3814,4254,2955,4228,4101,3694,3985,3244,3562,3296,3238
org.apache.commons.csv.ExtendedBufferedReader,getLineNumber,()J,10,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1583,1976,2138,1575,2167,2046,1961,2130,1731,1814,1708,1692
org.apache.commons.csv.ExtendedBufferedReader,getLineNumber,()J,14,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1568,1982,2216,1595,2287,2169,1930,2200,1695,1833,1709,1674
org.apache.commons.csv.ExtendedBufferedReader,getLineNumber,()J,18,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1580,2029,2129,1569,2377,2362,1931,2068,1695,1810,1668,1720
org.apache.commons.csv.ExtendedBufferedReader,getLineNumber,()J,24,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,10,13,15,10,40,20,18,13,12,15,14,12
org.apache.commons.csv.ExtendedBufferedReader,getLineNumber,()J,31,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,1573,2036,2088,1566,2210,2250,1817,2080,1680,1922,1721,1752
org.apache.commons.csv.ExtendedBufferedReader,getLineNumber,()J,32,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,1568,1975,2139,1552,2179,2333,1835,2087,1733,1848,1684,1741
org.apache.commons.csv.ExtendedBufferedReader,getLineNumber,()J,6,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1576,1946,2353,1545,2097,2392,1896,2044,1767,1817,1780,1684
org.apache.commons.csv.ExtendedBufferedReader,getPosition,()J,5,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,2818,3733,4083,2716,3987,4267,3246,3614,3358,3362,3246,2981
org.apache.commons.csv.ExtendedBufferedReader,mark,(I)V,23,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,227,346,368,225,467,465,305,320,301,316,302,251
org.apache.commons.csv.ExtendedBufferedReader,read,()I,10,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2810,3591,4107,2770,4080,4206,3310,3654,3406,3541,3314,3162
org.apache.commons.csv.ExtendedBufferedReader,read,()I,13,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2842,3662,3941,2814,3956,4176,3261,3924,3508,3592,3248,3125
org.apache.commons.csv.ExtendedBufferedReader,read,()I,17,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2550,3116,3557,2532,3639,3498,2977,3423,3120,3162,2816,2920
org.apache.commons.csv.ExtendedBufferedReader,read,()I,22,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2797,3597,4011,2741,4142,4021,3297,3977,3241,3493,3190,3129
org.apache.commons.csv.ExtendedBufferedReader,read,()I,26,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2726,3544,3654,2726,4188,4048,3266,3782,3253,3214,3150,3056
org.apache.commons.csv.ExtendedBufferedReader,read,()I,30,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2742,3457,4033,2726,4051,3740,3316,3703,3378,3345,3197,2965
org.apache.commons.csv.ExtendedBufferedReader,read,()I,34,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,309,402,577,288,632,475,430,477,422,397,408,378
org.apache.commons.csv.ExtendedBufferedReader,read,()I,42,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,2784,3621,3777,2746,3928,3944,3598,3591,3304,3324,3201,3154
org.apache.commons.csv.ExtendedBufferedReader,read,()I,56,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,2749,3511,4136,2740,3849,3969,4094,3608,3234,3284,3296,3098
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,100,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,136,206,238,138,318,240,206,250,170,178,221,58
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,109,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,6,8,9,6,10,8,8,10,8,8,9,3
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,123,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,1014,1213,1388,988,1459,1279,1287,1400,1144,1227,1200,1124
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,21,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,1043,1330,1432,1037,1447,1416,1302,1459,1218,1339,1228,1036
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,21,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,923,1157,1227,902,1234,1252,1099,1307,977,1060,1034,1004
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,31,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,883,1100,1235,888,1243,1207,1071,1323,1035,1058,1080,1011
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,32,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,70,96,117,74,126,137,89,119,90,95,114,55
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,32,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,854,1134,1226,886,1225,1153,1039,1246,1193,1062,1084,959
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,43,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,893,1127,1275,876,1206,1180,1146,1236,1070,1131,1014,1035
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,49,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,7,10,11,7,12,13,8,12,9,11,11,6
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,49,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,6,9,11,6,12,10,9,12,9,12,10,6
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,53,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,13,17,17,14,19,17,22,20,14,18,14,1
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,62,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,16,28,29,16,26,24,24,20,18,22,17,6
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,69,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,12,19,20,12,19,20,20,18,14,19,15,5
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,77,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,985,1251,1413,1008,1442,1335,1249,1443,1238,1276,1151,973
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,84,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,8,9,12,7,14,9,11,11,9,8,9,4
org.apache.commons.csv.ExtendedBufferedReader,read,([CII)I,98,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,85,140,216,84,176,129,144,183,108,117,115,55
org.apache.commons.csv.ExtendedBufferedReader,readLine,()Ljava/lang/String;,28,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,127,199,175,117,193,198,193,264,177,155,174,51
org.apache.commons.csv.ExtendedBufferedReader,readLine,()Ljava/lang/String;,38,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,38,73,66,38,74,68,72,82,53,54,60,29
org.apache.commons.csv.ExtendedBufferedReader,readLine,()Ljava/lang/String;,49,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,83,171,143,80,148,157,138,184,105,110,110,60
org.apache.commons.csv.ExtendedBufferedReader,readLine,()Ljava/lang/String;,52,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,75,126,123,75,118,151,106,142,84,116,108,60
org.apache.commons.csv.ExtendedBufferedReader,readLine,()Ljava/lang/String;,55,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,74,107,124,70,118,151,115,156,89,105,100,61
org.apache.commons.csv.ExtendedBufferedReader,readLine,()Ljava/lang/String;,6,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,75,101,122,70,122,136,110,128,90,104,105,68
org.apache.commons.csv.ExtendedBufferedReader,readLine,()Ljava/lang/String;,75,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,66,95,123,66,118,113,104,106,76,116,92,60
org.apache.commons.csv.CSVRecord,<init>,(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V,14,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,785,1196,1221,791,1371,1405,1073,1551,1032,1159,983,1009
org.apache.commons.csv.CSVRecord,get,(I)Ljava/lang/String;,7,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,78,121,110,76,125,147,109,124,102,119,90,98
org.apache.commons.csv.CSVRecord,get,(Ljava/lang/Enum;)Ljava/lang/String;,15,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,2,2,1,2,2,2,2,2,2,2,2
org.apache.commons.csv.CSVRecord,get,(Ljava/lang/Enum;)Ljava/lang/String;,5,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,4,5,6,4,6,7,6,5,5,6,4,5
org.apache.commons.csv.CSVRecord,get,(Ljava/lang/String;)Ljava/lang/String;,28,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,48,67,79,45,67,86,68,69,62,77,62,64
org.apache.commons.csv.CSVRecord,get,(Ljava/lang/String;)Ljava/lang/String;,61,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,212,238,301,186,287,339,290,268,238,292,245,245
org.apache.commons.csv.CSVRecord,get,(Ljava/lang/String;)Ljava/lang/String;,9,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,56,78,78,48,82,100,68,89,65,88,64,71
org.apache.commons.csv.CSVRecord,getCharacterPosition,()J,5,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,8,12,13,8,12,15,10,14,10,12,11,12
org.apache.commons.csv.CSVRecord,getComment,()Ljava/lang/String;,5,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,474,639,761,449,667,761,655,765,554,647,570,635
org.apache.commons.csv.CSVRecord,getHeaderMapRaw,()Ljava/util/Map;,15,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,62,98,102,58,82,111,89,124,84,96,72,83
org.apache.commons.csv.CSVRecord,getHeaderMapRaw,()Ljava/util/Map;,5,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,64,98,104,58,90,119,87,103,86,90,68,83
org.apache.commons.csv.CSVRecord,getParser,()Lorg/apache/commons/csv/CSVParser;,5,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,8,12,12,8,13,15,11,12,12,11,10,12
org.apache.commons.csv.CSVRecord,getRecordNumber,()J,5,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,12,20,20,12,21,25,19,24,17,17,17,19
org.apache.commons.csv.CSVRecord,hasComment,()Z,13,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,1,2,2,1,1,2,1,2,2,1,1,2
org.apache.commons.csv.CSVRecord,hasComment,()Z,5,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,1,1,1,1,1,1,2,1,1,1,1
org.apache.commons.csv.CSVRecord,isConsistent,()Z,15,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,4,10,7,4,7,8,4,11,7,9,6,6
org.apache.commons.csv.CSVRecord,isConsistent,()Z,25,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,6,15,10,7,14,14,10,15,10,11,9,9
org.apache.commons.csv.CSVRecord,isConsistent,()Z,9,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,6,11,10,6,12,12,11,13,9,8,9,8
org.apache.commons.csv.CSVRecord,isMapped,(Ljava/lang/String;)Z,13,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,7,13,11,7,14,13,10,17,9,10,11,10
org.apache.commons.csv.CSVRecord,isMapped,(Ljava/lang/String;)Z,21,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,10,20,14,9,16,20,15,22,13,13,14,12
org.apache.commons.csv.CSVRecord,isMapped,(Ljava/lang/String;)Z,9,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,10,19,16,10,18,20,16,24,15,15,14,14
org.apache.commons.csv.CSVRecord,isSet,(I)Z,10,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,1,2,2,1,2,2,2,2,2,3,1,3
org.apache.commons.csv.CSVRecord,isSet,(I)Z,10,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,2,2,1,2,3,2,2,2,1,2,1
org.apache.commons.csv.CSVRecord,isSet,(I)Z,18,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,1,2,2,1,2,2,2,2,2,1,1,1
org.apache.commons.csv.CSVRecord,isSet,(I)Z,5,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,1,2,2,1,1,2,2,2,2,1,1,1
org.apache.commons.csv.CSVRecord,isSet,(I)Z,5,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,1,2,1,2,3,2,2,1,1,1,1
org.apache.commons.csv.CSVRecord,isSet,(Ljava/lang/String;)Z,16,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,2,4,4,2,4,4,3,4,4,4,3,4
org.apache.commons.csv.CSVRecord,isSet,(Ljava/lang/String;)Z,16,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,3,5,5,3,6,6,5,5,4,4,4,4
org.apache.commons.csv.CSVRecord,isSet,(Ljava/lang/String;)Z,24,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,5,9,10,5,9,10,8,9,7,7,7,8
org.apache.commons.csv.CSVRecord,isSet,(Ljava/lang/String;)Z,6,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,5,9,10,5,8,11,9,11,8,8,8,8
org.apache.commons.csv.CSVRecord,iterator,()Ljava/util/Iterator;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,24,39,33,22,37,47,36,40,27,30,30,33
org.apache.commons.csv.CSVRecord,lambda$putIn$0,(Ljava/util/Map;Ljava/lang/String;Ljava/lang/Integer;)V,8,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,6,11,10,6,11,17,11,14,10,8,7,9
org.apache.commons.csv.CSVRecord,lambda$putIn$0,(Ljava/util/Map;Ljava/lang/String;Ljava/lang/Integer;)V,8,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,6,12,10,6,10,12,10,14,10,10,8,9
org.apache.commons.csv.CSVRecord,putIn,(Ljava/util/Map;)Ljava/util/Map;,18,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,7,13,10,6,10,9,13,14,10,9,10,10
org.apache.commons.csv.CSVRecord,putIn,(Ljava/util/Map;)Ljava/util/Map;,22,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,7,12,10,7,12,10,10,17,9,12,10,10
org.apache.commons.csv.CSVRecord,putIn,(Ljava/util/Map;)Ljava/util/Map;,5,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,12,19,20,11,24,19,18,28,15,18,17,17
org.apache.commons.csv.CSVRecord,putIn,(Ljava/util/Map;)Ljava/util/Map;,9,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,4,5,7,4,6,6,6,9,7,8,5,6
org.apache.commons.csv.CSVRecord,size,()I,6,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,49,69,73,48,71,75,71,103,67,68,69,62
org.apache.commons.csv.CSVRecord,stream,()Ljava/util/stream/Stream;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,37,60,58,35,57,64,56,72,58,59,61,45
org.apache.commons.csv.CSVRecord,toList,()Ljava/util/List;,8,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,35,65,49,33,46,72,51,62,46,52,54,41
org.apache.commons.csv.CSVRecord,toMap,()Ljava/util/Map;,11,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,10,14,15,10,15,17,14,22,14,14,15,12
org.apache.commons.csv.CSVRecord,toString,()Ljava/lang/String;,29,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,2,2,1,2,2,2,2,1,2,2,1
org.apache.commons.csv.CSVParser$CSVRecordIterator,getNextRecord,()Lorg/apache/commons/csv/CSVRecord;,8,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,415,573,644,415,625,895,565,774,514,601,623,608
org.apache.commons.csv.CSVParser$CSVRecordIterator,hasNext,()Z,10,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,3,2,3,2,4,4,3,3,2,3,3,4
org.apache.commons.csv.CSVParser$CSVRecordIterator,hasNext,()Z,16,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,225,293,330,219,371,398,309,363,268,339,312,299
