clazz,method,methodDesc,indexes,mutator,0,42,123,216,1202,1999,2002,2024,31415,99999,default,fastest
org.assertj.assertions.generator.TemplateRegistry,getTemplate,(Lorg/assertj/assertions/generator/Template$Type;)Lorg/assertj/assertions/generator/Template;,7,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,570,285,549,282,352,376,290,404,408,300,364,376
org.assertj.assertions.generator.TemplateRegistry,register,(Lorg/assertj/assertions/generator/Template;)V,4,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,3249,2232,3062,2216,2707,2927,2268,3145,2801,2388,3211,2632
org.assertj.assertions.generator.description.GetterDescription,compareTo,(Lorg/assertj/assertions/generator/description/GetterDescription;)I,6,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,2377,1537,2256,1537,1764,2138,1497,2066,2026,1576,2254,1767
org.assertj.assertions.generator.description.GetterDescription,getExceptions,()Lcom/google/common/collect/ImmutableList;,5,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,309,180,314,174,238,220,178,245,293,200,284,200
org.assertj.assertions.generator.description.GetterDescription,getOriginalMember,()Ljava/lang/reflect/Method;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,542,260,493,266,340,362,257,418,463,288,438,271
org.assertj.assertions.generator.description.GetterDescription,isPredicate,()Z,11,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,575,359,552,352,477,481,361,474,595,407,525,397
org.assertj.assertions.generator.description.GetterDescription,isPredicate,()Z,19,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,496,278,427,271,342,354,267,367,433,296,414,297
org.assertj.assertions.generator.description.DataDescription,compareTo,(Lorg/assertj/assertions/generator/description/DataDescription;)I,12,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2985,1995,2772,1935,2465,2443,1929,2827,2887,2154,2289,2386
org.assertj.assertions.generator.description.DataDescription,compareTo,(Lorg/assertj/assertions/generator/description/DataDescription;)I,27,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,1996,1302,1903,1299,1784,1616,1292,1806,1993,1430,1634,1510
org.assertj.assertions.generator.description.DataDescription,getAssertTypeName,(Ljava/lang/String;)Ljava/lang/String;,7,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,2849,1896,3076,1932,2352,2398,1916,2729,2760,2054,2448,2217
org.assertj.assertions.generator.description.DataDescription,getElementAssertTypeName,()Ljava/lang/String;,15,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,88,52,96,53,75,65,54,74,76,60,66,63
org.assertj.assertions.generator.description.DataDescription,getElementAssertTypeName,()Ljava/lang/String;,25,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,830,560,907,554,687,682,553,821,912,595,774,640
org.assertj.assertions.generator.description.DataDescription,getElementTypeName,()Ljava/lang/String;,10,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,164,74,114,70,94,107,74,111,121,77,112,81
org.assertj.assertions.generator.description.DataDescription,getElementTypeName,()Ljava/lang/String;,26,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,460,199,362,196,269,282,193,288,273,216,255,248
org.assertj.assertions.generator.description.DataDescription,getElementTypeName,()Ljava/lang/String;,55,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,322,174,334,192,239,284,197,280,298,202,251,240
org.assertj.assertions.generator.description.DataDescription,getFullyQualifiedTypeName,()Ljava/lang/String;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,842,645,971,639,790,908,641,1013,1069,655,788,856
org.assertj.assertions.generator.description.DataDescription,getName,()Ljava/lang/String;,5,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1006,653,940,652,786,1120,666,1031,1062,686,792,826
org.assertj.assertions.generator.description.DataDescription,getNegativePredicate,()Ljava/lang/String;,7,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,86,58,83,52,67,97,52,88,104,55,83,67
org.assertj.assertions.generator.description.DataDescription,getNegativePredicateForErrorMessagePart1,()Ljava/lang/String;,16,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,758,570,778,576,734,727,565,872,845,585,741,691
org.assertj.assertions.generator.description.DataDescription,getNegativePredicateForErrorMessagePart2,()Ljava/lang/String;,13,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,761,561,770,559,689,618,543,729,673,567,700,667
org.assertj.assertions.generator.description.DataDescription,getNegativePredicateForJavadoc,()Ljava/lang/String;,16,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,725,519,810,512,655,593,513,671,758,531,691,598
org.assertj.assertions.generator.description.DataDescription,getOriginalMember,()Ljava/lang/reflect/Member;,5,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,344,202,333,202,258,224,202,298,310,211,285,247
org.assertj.assertions.generator.description.DataDescription,getPredicate,()Ljava/lang/String;,6,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,103,52,87,50,71,60,51,73,71,53,63,61
org.assertj.assertions.generator.description.DataDescription,getPredicateForErrorMessagePart1,()Ljava/lang/String;,16,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,695,514,790,498,593,566,500,753,732,518,607,609
org.assertj.assertions.generator.description.DataDescription,getPredicateForErrorMessagePart2,()Ljava/lang/String;,13,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,685,505,768,502,583,587,515,731,727,523,635,625
org.assertj.assertions.generator.description.DataDescription,getPredicateForJavadoc,()Ljava/lang/String;,16,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,758,516,789,509,642,701,508,718,705,533,638,652
org.assertj.assertions.generator.description.DataDescription,getTypeName,()Ljava/lang/String;,11,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,634,444,686,426,522,598,424,549,634,451,560,539
