clazz,method,methodDesc,indexes,mutator,0,42,123,216,1202,1999,2002,2024,31415,99999,default,fastest
delight.nashornsandbox.internal.NashornDetection,createSandboxClassFilter,()Ldelight/nashornsandbox/internal/SandboxClassFilter;,17,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,181,39,107,155,380,196,70,108,236,47,59,45
delight.nashornsandbox.internal.NashornDetection,getClassFilterClass,()Ljava/lang/Class;,13,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,351,49,331,199,676,181,147,163,304,48,62,50
delight.nashornsandbox.internal.NashornDetection,getClassFilterClass,()Ljava/lang/Class;,4,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,284,35,243,165,518,74,90,196,270,41,48,55
delight.nashornsandbox.internal.NashornDetection,getNashornScriptEngineFactory,()Ljava/lang/Object;,20,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,269,31,232,187,467,56,110,144,206,49,49,66
delight.nashornsandbox.internal.NashornDetection,getNashornScriptEngineFactory,()Ljava/lang/Object;,31,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,182,35,244,248,536,189,86,172,187,44,53,57
delight.nashornsandbox.internal.JsSanitizer,<init>,(Ljavax/script/ScriptEngine;I)V,20,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1407,999,1668,2207,2614,1817,1337,1873,1697,1141,1220,1162
delight.nashornsandbox.internal.JsSanitizer,<init>,(Ljavax/script/ScriptEngine;Ldelight/nashornsandbox/SecuredJsCache;)V,18,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,7,4,7,11,12,8,6,7,9,6,6,5
delight.nashornsandbox.internal.JsSanitizer,checkJs,(Ljava/lang/String;)V,10,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,15487,10833,16326,17392,18540,14824,16400,15241,14888,12690,13256,11957
delight.nashornsandbox.internal.JsSanitizer,checkJs,(Ljava/lang/String;)V,6,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,12680,8635,12154,12670,12970,11553,13524,10854,10791,9918,10784,9660
delight.nashornsandbox.internal.JsSanitizer,createSecuredJsCache,(I)Ldelight/nashornsandbox/SecuredJsCache;,15,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,9450,6825,7724,8920,8872,8470,8754,7737,7515,7390,7911,7577
delight.nashornsandbox.internal.JsSanitizer,getInjectJs,()Ljava/lang/String;,111,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,856,375,994,666,756,558,472,1710,460,502,555,461
delight.nashornsandbox.internal.JsSanitizer,getInjectJs,()Ljava/lang/String;,43,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,232,178,677,213,219,191,192,954,176,176,201,191
delight.nashornsandbox.internal.JsSanitizer,getPreamble,()Ljava/lang/String;,48,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,18490,11674,17195,16632,17197,15005,15228,18119,13291,13308,14088,14000
delight.nashornsandbox.internal.JsSanitizer,injectAsFunction,(Ljava/lang/Object;)Ljava/util/function/Function;,10,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,13448,8468,10436,12694,12081,10898,11468,11960,9822,9533,10597,10237
delight.nashornsandbox.internal.JsSanitizer,injectAsFunction,(Ljava/lang/Object;)Ljava/util/function/Function;,5,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,14302,7984,10372,12192,10956,10521,10938,11192,9224,9121,10268,9585
delight.nashornsandbox.internal.JsSanitizer,injectInterruptionCalls,(Ljava/lang/String;)Ljava/lang/String;,8,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,25545,16374,20882,24898,23043,20724,20902,21675,19786,18676,20570,19323
delight.nashornsandbox.internal.JsSanitizer,lambda$injectAsFunction$1,(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/String;,22,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,22808,16337,21228,24296,23148,20906,22040,23908,19284,19285,21228,18743
delight.nashornsandbox.internal.JsSanitizer,lambda$secureJs$0,(Ljava/lang/String;[Ljavax/script/ScriptException;)Ljava/lang/String;,7,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,2268,2065,2263,2544,2418,2388,2390,2624,2216,2127,2174,2187
delight.nashornsandbox.internal.JsSanitizer,newSecuredJsCache,(I)Ldelight/nashornsandbox/SecuredJsCache;,20,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,7682,6476,7110,7856,8017,7670,8021,8221,7198,7097,6977,6993
delight.nashornsandbox.internal.JsSanitizer,newSecuredJsCache,(I)Ldelight/nashornsandbox/SecuredJsCache;,8,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,7913,6415,7414,8011,7821,7601,7910,8003,7216,7295,7149,7294
delight.nashornsandbox.internal.JsSanitizer,secureJs,(Ljava/lang/String;)Ljava/lang/String;,11,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,20360,14538,18197,21341,20117,19114,20552,20694,17002,20166,16781,19444
