clazz,round0,round1,round2,round3,round4,round5,avg.
com.github.jknack.handlebars.internal.HbsLexer,0.1556,0.1512,0.1659,0.1463,0.1578,0.1813,0.1597
com.github.jknack.handlebars.internal.HbsParser,0.1220,0.1137,0.1089,0.1191,0.1192,0.1198,0.1171
com.github.jknack.handlebars.internal.TemplateBuilder,0.0546,0.0521,0.0553,0.0575,0.0512,0.0660,0.0561
com.github.jknack.handlebars.Handlebars,0.0286,0.0287,0.0293,0.0282,0.0308,0.0325,0.0297
com.github.jknack.handlebars.internal.HelperResolver,0.0248,0.0211,0.0272,0.0205,0.0260,0.0233,0.0238
com.github.jknack.handlebars.internal.Variable,0.0158,0.0161,0.0159,0.0191,0.0185,0.0171,0.0171
com.github.jknack.handlebars.internal.BaseTemplate,0.0133,0.0142,0.0131,0.0134,0.0126,0.0130,0.0133
com.github.jknack.handlebars.internal.HbsParserFactory,0.0150,0.0106,0.0107,0.0112,0.0109,0.0119,0.0117
com.github.jknack.handlebars.PathCompiler,0.0106,0.0124,0.0132,0.0113,0.0108,0.0114,0.0116
com.github.jknack.handlebars.helper.DefaultHelperRegistry,0.0112,0.0108,0.0118,0.0110,0.0119,0.0123,0.0115
com.github.jknack.handlebars.internal.TemplateList,0.0105,0.0124,0.0117,0.0107,0.0113,0.0114,0.0113
com.github.jknack.handlebars.internal.ForwardingTemplate,0.0097,0.0105,0.0101,0.0137,0.0103,0.0104,0.0108
com.github.jknack.handlebars.Context$PathExpressionChain,0.0083,0.0114,0.0098,0.0113,0.0098,0.0104,0.0102
com.github.jknack.handlebars.internal.HbsParserFactory$1,0.0085,0.0114,0.0083,0.0091,0.0108,0.0089,0.0095
com.github.jknack.handlebars.Options,0.0080,0.0093,0.0094,0.0091,0.0094,0.0092,0.0091
com.github.jknack.handlebars.internal.Block,0.0077,0.0075,0.0105,0.0081,0.0078,0.0076,0.0082
com.github.jknack.handlebars.internal.MustacheSpec,0.0064,0.0063,0.0064,0.0088,0.0063,0.0064,0.0068
com.github.jknack.handlebars.Context$CompositeValueResolver,0.0065,0.0065,0.0051,0.0057,0.0076,0.0054,0.0061
com.github.jknack.handlebars.internal.HbsParser$SexprContext,0.0055,0.0057,0.0059,0.0055,0.0059,0.0059,0.0057
com.github.jknack.handlebars.internal.HbsParser$StatementContext,0.0058,0.0056,0.0053,0.0051,0.0058,0.0051,0.0054
com.github.jknack.handlebars.internal.MustacheStringUtils,0.0055,0.0052,0.0054,0.0059,0.0050,0.0050,0.0053
com.github.jknack.handlebars.internal.HbsParser$TemplateContext,0.0045,0.0054,0.0050,0.0060,0.0051,0.0051,0.0052
com.github.jknack.handlebars.internal.Partial,0.0045,0.0057,0.0046,0.0043,0.0048,0.0042,0.0047
com.github.jknack.handlebars.context.MapValueResolver,0.0041,0.0050,0.0040,0.0049,0.0047,0.0043,0.0045
com.github.jknack.handlebars.internal.HbsParser$VarContext,0.0039,0.0044,0.0046,0.0044,0.0047,0.0045,0.0044
com.github.jknack.handlebars.internal.HbsParser$TextContext,0.0045,0.0044,0.0043,0.0042,0.0044,0.0045,0.0044
com.github.jknack.handlebars.context.MemberValueResolver,0.0042,0.0040,0.0046,0.0041,0.0053,0.0039,0.0044
com.github.jknack.handlebars.io.AbstractTemplateLoader,0.0040,0.0042,0.0042,0.0042,0.0049,0.0039,0.0042
com.github.jknack.handlebars.internal.HbsParser$BlockContext,0.0040,0.0057,0.0038,0.0041,0.0038,0.0037,0.0042
com.github.jknack.handlebars.internal.FastStringWriter,0.0039,0.0038,0.0038,0.0036,0.0042,0.0038,0.0038
com.github.jknack.handlebars.internal.TemplateBuilder$1,0.0037,0.0032,0.0038,0.0050,0.0038,0.0031,0.0038
com.github.jknack.handlebars.io.StringTemplateSource,0.0034,0.0044,0.0035,0.0032,0.0034,0.0034,0.0035
com.github.jknack.handlebars.ValueResolver,0.0039,0.0035,0.0033,0.0034,0.0034,0.0033,0.0035
com.github.jknack.handlebars.Handlebars$Utils,0.0032,0.0034,0.0040,0.0035,0.0031,0.0030,0.0034
com.github.jknack.handlebars.internal.HbsParser$BodyContext,0.0036,0.0032,0.0032,0.0034,0.0034,0.0032,0.0034
com.github.jknack.handlebars.Context$Builder,0.0035,0.0033,0.0034,0.0033,0.0035,0.0030,0.0033
com.github.jknack.handlebars.io.ClassPathTemplateLoader,0.0031,0.0032,0.0030,0.0031,0.0035,0.0035,0.0032
com.github.jknack.handlebars.helper.EachHelper,0.0029,0.0032,0.0030,0.0032,0.0028,0.0031,0.0030
com.github.jknack.handlebars.internal.path.PropertyPath,0.0027,0.0025,0.0038,0.0026,0.0029,0.0027,0.0029
com.github.jknack.handlebars.helper.PrecompileHelper$JsWrapper,0.0037,0.0027,0.0025,0.0024,0.0024,0.0024,0.0027
com.github.jknack.handlebars.EscapingStrategy$Hbs,0.0025,0.0029,0.0025,0.0028,0.0023,0.0026,0.0026
com.github.jknack.handlebars.context.MethodValueResolver,0.0020,0.0019,0.0024,0.0032,0.0021,0.0020,0.0023
com.github.jknack.handlebars.context.JavaBeanValueResolver,0.0024,0.0021,0.0021,0.0027,0.0022,0.0020,0.0023
com.github.jknack.handlebars.cache.HighConcurrencyTemplateCache,0.0022,0.0021,0.0022,0.0023,0.0022,0.0006,0.0019
com.github.jknack.handlebars.internal.Text,0.0013,0.0020,0.0016,0.0024,0.0016,0.0015,0.0017
com.github.jknack.handlebars.Formatter,0.0018,0.0017,0.0017,0.0019,0.0017,0.0015,0.0017
com.github.jknack.handlebars.cache.NullTemplateCache,0.0016,0.0016,0.0017,0.0018,0.0020,0.0015,0.0017
com.github.jknack.handlebars.internal.HbsParser$UnlessContext,0.0016,0.0017,0.0017,0.0016,0.0014,0.0015,0.0016
com.github.jknack.handlebars.helper.PrecompileHelper,0.0015,0.0017,0.0016,0.0016,0.0014,0.0016,0.0016
com.github.jknack.handlebars.internal.HbsParser$StaticPathContext,0.0016,0.0018,0.0013,0.0016,0.0014,0.0015,0.0015
com.github.jknack.handlebars.internal.HbsParser$RefParamContext,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
com.github.jknack.handlebars.internal.HbsErrorReporter,0.0021,0.0013,0.0011,0.0011,0.0012,0.0013,0.0014
com.github.jknack.handlebars.internal.Files,0.0014,0.0013,0.0013,0.0014,0.0013,0.0013,0.0013
com.github.jknack.handlebars.internal.HbsErrorStrategy,0.0011,0.0012,0.0013,0.0011,0.0012,0.0011,0.0012
com.github.jknack.handlebars.internal.HbsParser$StringParamContext,0.0011,0.0010,0.0012,0.0011,0.0015,0.0010,0.0012
com.github.jknack.handlebars.internal.HbsParser$PartialContext,0.0011,0.0012,0.0012,0.0013,0.0010,0.0011,0.0011
com.github.jknack.handlebars.internal.HbsParser$TvarContext,0.0011,0.0012,0.0012,0.0011,0.0011,0.0011,0.0011
com.github.jknack.handlebars.internal.Throwing,0.0010,0.0012,0.0011,0.0009,0.0010,0.0009,0.0010
com.github.jknack.handlebars.internal.HbsParser$SubParamExprContext,0.0015,0.0009,0.0009,0.0010,0.0008,0.0009,0.0010
com.github.jknack.handlebars.internal.HbsParser$DelimitersContext,0.0012,0.0008,0.0008,0.0008,0.0010,0.0010,0.0009
com.github.jknack.handlebars.helper.MethodHelper,0.0007,0.0011,0.0007,0.0014,0.0008,0.0008,0.0009
com.github.jknack.handlebars.Handlebars$SafeString,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
com.github.jknack.handlebars.internal.path.ResolveThisPath,0.0008,0.0009,0.0009,0.0009,0.0008,0.0008,0.0008
