clazz,round0,round1,round2,round3,round4,round5,avg.
me.zhyd.oauth.cache.AuthDefaultCache,0.1015,0.1494,0.1015,0.0535,0.0537,0.1494,0.1015
me.zhyd.oauth.utils.GlobalAuthUtils,0.0142,0.0144,0.0141,0.0139,0.0141,0.0140,0.0141
me.zhyd.oauth.utils.Base64Utils,0.0133,0.0132,0.0133,0.0136,0.0135,0.0133,0.0134
me.zhyd.oauth.config.AuthConfig,0.0088,0.0090,0.0089,0.0089,0.0090,0.0088,0.0089
me.zhyd.oauth.utils.AuthChecker,0.0079,0.0074,0.0076,0.0076,0.0081,0.0076,0.0077
me.zhyd.oauth.request.AuthDefaultRequest,0.0062,0.0062,0.0060,0.0060,0.0060,0.0060,0.0061
me.zhyd.oauth.model.AuthToken,0.0054,0.0053,0.0053,0.0054,0.0052,0.0053,0.0053
me.zhyd.oauth.utils.UuidUtils,0.0053,0.0051,0.0052,0.0052,0.0052,0.0052,0.0052
me.zhyd.oauth.utils.StringUtils,0.0050,0.0050,0.0050,0.0050,0.0051,0.0051,0.0050
me.zhyd.oauth.model.AuthUser,0.0037,0.0036,0.0036,0.0037,0.0037,0.0036,0.0036
me.zhyd.oauth.utils.UrlBuilder,0.0036,0.0036,0.0036,0.0036,0.0035,0.0037,0.0036
me.zhyd.oauth.enums.scope.AuthGoogleScope,0.0028,0.0028,0.0028,0.0030,0.0028,0.0028,0.0028
me.zhyd.oauth.cache.AuthDefaultCache$CacheState,0.0028,0.0028,0.0027,0.0028,0.0029,0.0029,0.0028
me.zhyd.oauth.model.AuthToken$AuthTokenBuilder,0.0027,0.0026,0.0027,0.0027,0.0027,0.0028,0.0027
me.zhyd.oauth.config.AuthConfig$AuthConfigBuilder,0.0026,0.0025,0.0024,0.0024,0.0025,0.0024,0.0025
me.zhyd.oauth.cache.AuthDefaultStateCache,0.0026,0.0023,0.0024,0.0024,0.0024,0.0024,0.0024
me.zhyd.oauth.request.AuthAppleRequest,0.0022,0.0021,0.0022,0.0022,0.0022,0.0023,0.0022
me.zhyd.oauth.request.AuthAlipayRequest,0.0019,0.0019,0.0020,0.0020,0.0020,0.0020,0.0020
me.zhyd.oauth.model.AuthUser$AuthUserBuilder,0.0019,0.0018,0.0018,0.0018,0.0018,0.0017,0.0018
me.zhyd.oauth.config.AuthDefaultSource$38,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
me.zhyd.oauth.enums.scope.AuthSlackScope,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
me.zhyd.oauth.model.AuthResponse,0.0015,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
me.zhyd.oauth.request.AuthFacebookRequest,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
me.zhyd.oauth.model.AuthCallback,0.0014,0.0015,0.0014,0.0014,0.0014,0.0014,0.0014
me.zhyd.oauth.enums.scope.AuthOktaScope,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
me.zhyd.oauth.enums.scope.AuthGiteeScope,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
me.zhyd.oauth.utils.AuthScopeUtils,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
me.zhyd.oauth.enums.AuthResponseStatus,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
me.zhyd.oauth.enums.scope.AuthMicrosoftScope,0.0014,0.0014,0.0013,0.0014,0.0014,0.0014,0.0014
me.zhyd.oauth.enums.scope.AuthGitlabScope,0.0013,0.0014,0.0014,0.0013,0.0014,0.0014,0.0014
me.zhyd.oauth.enums.scope.AuthFigmaScope,0.0014,0.0013,0.0013,0.0013,0.0014,0.0013,0.0014
me.zhyd.oauth.enums.scope.AuthHuaweiV3Scope,0.0014,0.0013,0.0013,0.0013,0.0013,0.0014,0.0014
me.zhyd.oauth.enums.scope.AuthDouyinScope,0.0013,0.0013,0.0013,0.0014,0.0013,0.0014,0.0013
me.zhyd.oauth.enums.scope.AuthLinkedinScope,0.0014,0.0013,0.0013,0.0013,0.0014,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthWechatMpScope,0.0013,0.0013,0.0013,0.0014,0.0014,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthWeChatEnterpriseWebScope,0.0013,0.0013,0.0014,0.0013,0.0014,0.0014,0.0013
me.zhyd.oauth.enums.scope.AuthFacebookScope,0.0013,0.0013,0.0013,0.0013,0.0014,0.0014,0.0013
me.zhyd.oauth.request.AuthWeChatEnterpriseQrcodeV2Request,0.0013,0.0013,0.0013,0.0013,0.0014,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthWeiboScope,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthHuaweiScope,0.0013,0.0014,0.0013,0.0014,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthStackoverflowScope,0.0013,0.0013,0.0013,0.0014,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthKujialeScope,0.0013,0.0013,0.0014,0.0013,0.0013,0.0014,0.0013
me.zhyd.oauth.enums.scope.AuthPinterestScope,0.0014,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthJdScope,0.0013,0.0013,0.0014,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthProginnScope,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthAppleScope,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.request.AuthMicrosoftRequest,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthDingTalkScope,0.0013,0.0013,0.0013,0.0013,0.0014,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthQqScope,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.request.AuthMicrosoftCnRequest,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthLineScope,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthMiScope,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthBaiduScope,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthAmazonScope,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.request.AuthAmazonRequest,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.request.AuthHuaweiV3Request,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
me.zhyd.oauth.enums.scope.AuthGithubScope,0.0012,0.0012,0.0012,0.0012,0.0012,0.0013,0.0012
me.zhyd.oauth.config.AuthDefaultSource$50,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
me.zhyd.oauth.config.AuthDefaultSource$44,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
me.zhyd.oauth.request.AbstractAuthMicrosoftRequest,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
