clazz,round0,round1,round2,round3,round4,round5,avg.
org.apache.commons.collections4.map.AbstractHashedMap,0.1145,0.1156,0.1137,0.1107,0.1142,0.1116,0.1134
org.apache.commons.collections4.map.ConcurrentReferenceHashMap,0.0503,0.0487,0.0492,0.0493,0.0478,0.0503,0.0493
org.apache.commons.collections4.bidimap.TreeBidiMap,0.0402,0.0449,0.0439,0.0474,0.0448,0.0441,0.0442
org.apache.commons.collections4.map.ConcurrentReferenceHashMap$Segment,0.0300,0.0325,0.0324,0.0334,0.0298,0.0320,0.0317
org.apache.commons.collections4.trie.AbstractPatriciaTrie,0.0330,0.0319,0.0328,0.0299,0.0258,0.0268,0.0300
org.apache.commons.collections4.map.LRUMap,0.0256,0.0255,0.0256,0.0256,0.0255,0.0257,0.0256
org.apache.commons.collections4.map.PassiveExpiringMap,0.0159,0.0157,0.0159,0.0159,0.0158,0.0159,0.0158
org.apache.commons.collections4.map.AbstractLinkedMap$LinkIterator,0.0105,0.0104,0.0104,0.0105,0.0104,0.0105,0.0104
org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer,0.0089,0.0108,0.0098,0.0100,0.0077,0.0088,0.0093
org.apache.commons.collections4.list.AbstractLinkedList,0.0078,0.0087,0.0108,0.0108,0.0077,0.0089,0.0091
org.apache.commons.collections4.bloomfilter.SimpleBloomFilter,0.0109,0.0109,0.0076,0.0096,0.0075,0.0076,0.0090
org.apache.commons.collections4.list.AbstractLinkedListJava21,0.0093,0.0103,0.0083,0.0083,0.0072,0.0096,0.0088
org.apache.commons.collections4.bloomfilter.Shape,0.0088,0.0087,0.0097,0.0075,0.0097,0.0085,0.0088
org.apache.commons.collections4.map.AbstractMapDecorator,0.0087,0.0086,0.0087,0.0089,0.0086,0.0087,0.0087
org.apache.commons.collections4.map.AbstractReferenceMap,0.0088,0.0084,0.0081,0.0085,0.0085,0.0086,0.0085
org.apache.commons.collections4.map.AbstractLinkedMap,0.0070,0.0070,0.0080,0.0070,0.0090,0.0070,0.0075
org.apache.commons.collections4.map.ConcurrentReferenceHashMap$HashIterator,0.0070,0.0069,0.0070,0.0069,0.0079,0.0079,0.0073
org.apache.commons.collections4.bag.AbstractMapBag,0.0076,0.0064,0.0064,0.0075,0.0065,0.0075,0.0070
org.apache.commons.collections4.bloomfilter.BitMaps,0.0052,0.0072,0.0059,0.0062,0.0059,0.0052,0.0059
