clazz,round0,round1,round2,round3,round4,round5,avg.
org.zalando.riptide.DefaultHttpBuilder,0.1549,0.1494,0.1502,0.1459,0.1438,0.1522,0.1494
org.zalando.riptide.DefaultRequestArguments,0.0665,0.0860,0.0825,0.0826,0.0883,0.0867,0.0821
org.zalando.riptide.CompositePlugin,0.0583,0.0573,0.0564,0.0561,0.0545,0.0456,0.0547
org.zalando.riptide.Plugin,0.0372,0.0364,0.0370,0.0378,0.0369,0.0322,0.0362
org.zalando.riptide.DispatchPlugin,0.0264,0.0268,0.0269,0.0267,0.0259,0.0245,0.0262
org.zalando.riptide.OriginalStackTracePlugin,0.0235,0.0240,0.0248,0.0251,0.0238,0.0222,0.0239
org.zalando.riptide.SerializationPlugin,0.0245,0.0230,0.0237,0.0236,0.0249,0.0215,0.0236
org.zalando.riptide.AsyncPlugin,0.0238,0.0227,0.0217,0.0229,0.0221,0.0205,0.0223
org.zalando.riptide.CompletableFutures,0.0213,0.0210,0.0210,0.0211,0.0211,0.0216,0.0212
org.zalando.riptide.BlockingIO,0.0193,0.0189,0.0182,0.0188,0.0193,0.0185,0.0188
org.zalando.riptide.DefaultHttp,0.0186,0.0182,0.0185,0.0192,0.0188,0.0186,0.0187
org.zalando.riptide.Requester,0.0179,0.0172,0.0167,0.0165,0.0168,0.0183,0.0172
org.zalando.riptide.PassRoute,0.0160,0.0157,0.0153,0.0155,0.0162,0.0155,0.0157
org.zalando.riptide.GuardedRequestExecution,0.0101,0.0097,0.0090,0.0095,0.0096,0.0092,0.0095
org.zalando.riptide.DefaultRoutingTree,0.0096,0.0094,0.0094,0.0095,0.0091,0.0096,0.0094
org.zalando.riptide.DefaultMessageWriter,0.0087,0.0083,0.0085,0.0088,0.0098,0.0089,0.0088
org.zalando.riptide.Requester$ResponseDispatcher,0.0084,0.0080,0.0082,0.0085,0.0084,0.0085,0.0083
org.zalando.riptide.DispatchStage,0.0080,0.0079,0.0082,0.0078,0.0078,0.0081,0.0080
org.zalando.riptide.SerializationPlugin$SerializingEntity,0.0082,0.0076,0.0074,0.0075,0.0076,0.0078,0.0077
org.zalando.riptide.Binding,0.0075,0.0076,0.0076,0.0075,0.0076,0.0079,0.0076
org.zalando.riptide.Http,0.0074,0.0073,0.0072,0.0075,0.0073,0.0079,0.0074
org.zalando.riptide.RequestArguments,0.0074,0.0074,0.0074,0.0076,0.0073,0.0074,0.0074
org.zalando.riptide.IO,0.0070,0.0075,0.0079,0.0069,0.0073,0.0075,0.0073
org.zalando.riptide.RoutingTree,0.0060,0.0058,0.0059,0.0060,0.0058,0.0063,0.0060
org.zalando.riptide.PartialBinding,0.0055,0.0054,0.0056,0.0058,0.0055,0.0059,0.0056
org.zalando.riptide.EqualityNavigator,0.0055,0.0054,0.0055,0.0057,0.0050,0.0054,0.0054
org.zalando.riptide.Route,0.0054,0.0051,0.0051,0.0053,0.0052,0.0052,0.0052
org.zalando.riptide.Bindings,0.0047,0.0047,0.0048,0.0046,0.0049,0.0050,0.0048
org.zalando.riptide.Navigators,0.0043,0.0039,0.0044,0.0043,0.0043,0.0041,0.0042
org.zalando.riptide.UrlResolution$2,0.0042,0.0041,0.0043,0.0041,0.0042,0.0043,0.0042
org.zalando.riptide.UrlResolution$1,0.0025,0.0024,0.0026,0.0026,0.0025,0.0027,0.0025
org.zalando.riptide.DefaultMessageReader,0.0023,0.0024,0.0024,0.0024,0.0025,0.0025,0.0024
org.zalando.riptide.ContentTypeNavigator,0.0020,0.0019,0.0019,0.0020,0.0019,0.0021,0.0020
org.zalando.riptide.HttpResponseException,0.0013,0.0013,0.0013,0.0014,0.0013,0.0014,0.0013
org.zalando.riptide.ReasonPhraseNavigator,0.0012,0.0011,0.0011,0.0011,0.0010,0.0011,0.0011
org.zalando.riptide.SeriesNavigator,0.0010,0.0009,0.0009,0.0009,0.0010,0.0010,0.0009
org.zalando.riptide.StatusNavigator,0.0009,0.0009,0.0010,0.0009,0.0008,0.0009,0.0009
org.zalando.riptide.Types,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006,0.0005
org.zalando.riptide.StatusCodeNavigator,0.0003,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004
org.zalando.riptide.ForwardingClientHttpResponse,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.zalando.riptide.NoWildcardException,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.zalando.riptide.CharsetExtractor,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
org.zalando.riptide.Attribute,0.0001,0.0001,0.0001,0.0000,0.0001,0.0000,0.0001
