seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,18777,21810,19288,15956,15962,22206,18999.83,1.00,1.0000,1.0000
single-group,16990,19934,17074,19960,16899,13853,17451.67,0.92,0.3100,0.5887
single-group_errors-at-the-end,17034,19987,17099,20008,19814,17116,18509.67,0.97,0.7095,1.0000
