seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,918194,917332,917648,916941,917357,917065,917422.83,1.00,1.0000,1.0000
single-group,898981,898656,899049,899013,899331,899775,899134.17,0.98,0.0000,0.0022
single-group_errors-at-the-end,899148,899067,899956,899802,900453,899870,899716.00,0.98,0.0000,0.0022
