seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,174109,171310,172360,172290,174487,171593,172691.50,1.00,1.0000,1.0000
single-group,187936,191315,186165,183340,178783,192238,186629.50,1.08,0.0001,0.0022
single-group_random-42,158916,159792,155845,157557,157116,160109,158222.50,0.92,0.0000,0.0022
single-group_random-43,159469,156692,159866,158614,160718,160352,159285.17,0.92,0.0000,0.0022
single-group_random-44,156071,156953,152063,155050,153815,155590,154923.67,0.90,0.0000,0.0022
single-group_random-45,154216,154269,157022,154969,155402,158109,155664.50,0.90,0.0000,0.0022
single-group_random-46,148599,151292,149980,145235,151194,146708,148834.67,0.86,0.0000,0.0022
