seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,1714482,1712080,1691528,1725075,1716958,1722111,1713705.67,1.00,1.0000,1.0000
single-group,2288240,2274997,2259727,2268366,2276091,2279028,2274408.17,1.33,0.0000,0.0022
single-group_errors-at-the-end,2734337,2727218,2745922,2732525,2747817,2737456,2737545.83,1.60,0.0000,0.0022
