seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,194226,198510,198497,196977,197741,189739,195948.33,1.00,1.0000,1.0000
single-group,211806,200980,197482,198643,202886,200831,202104.67,1.03,0.0344,0.0152
single-group_errors-at-the-end,116526,119323,119016,120773,118019,115618,118212.50,0.60,0.0000,0.0022
single-group_random-42,209434,210500,123328,210243,210076,210184,195627.50,1.00,0.9828,0.0649
single-group_random-43,215521,210555,210817,167852,178763,219130,200439.67,1.02,0.6248,0.3939
single-group_random-44,210230,214158,210397,189991,183920,133310,190334.33,0.97,0.6639,0.9372
single-group_random-45,204994,200294,201157,197815,207297,198617,201695.67,1.03,0.0193,0.0087
single-group_random-46,158020,173744,203153,204593,205857,207105,192078.67,0.98,0.6645,0.3939
