seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,741982,803859,701907,751756,778878,743178,753593.33,1.00,1.0000,1.0000
single-group,802570,805422,820446,783627,821433,808595,807015.50,1.07,0.0059,0.0087
single-group_errors-at-the-end,751585,736011,731940,717737,727522,727679,732079.00,0.97,0.1813,0.1320
single-group_random-42,740290,704633,719648,719078,717704,726517,721311.67,0.96,0.0572,0.0649
single-group_random-43,707854,721341,702237,704895,709879,705395,708600.17,0.94,0.0112,0.0649
single-group_random-44,672559,688361,682082,683957,685571,671608,680689.67,0.90,0.0005,0.0022
single-group_random-45,681041,673179,678092,688418,678244,670044,678169.67,0.90,0.0004,0.0022
single-group_random-46,701526,703469,696581,706443,697344,691620,699497.17,0.93,0.0038,0.0087
