seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,2526136,2739105,2722985,2621581,2722330,2621615,2658958.67,1.00,1.0000,1.0000
single-group,2795271,2830492,2797001,2468918,2356347,2360585,2601435.67,0.98,0.5772,1.0000
single-group_errors-at-the-end,2351629,2344530,2334754,2341483,2362822,2333512,2344788.33,0.88,0.0000,0.0022
single-group_random-42,2652565,2556829,2654222,2476948,2603176,2488926,2572111.00,0.97,0.0924,0.1320
single-group_random-43,2684957,2654579,2526622,2555751,2695045,2461808,2596460.33,0.98,0.2556,0.3095
single-group_random-44,2719135,2569241,2859638,2753444,2720031,2776435,2732987.33,1.03,0.1834,0.3095
single-group_random-45,2604853,2626891,2661827,2723960,2661013,2635334,2652313.00,1.00,0.8649,1.0000
single-group_random-46,2734358,2533665,2610143,2697233,2619227,2593820,2631407.67,0.99,0.5563,0.3939
