seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,1922548,1923395,1940873,1911131,1903951,1912410,1919051.33,1.00,1.0000,1.0000
single-group,2340602,2355384,2343992,2332568,2325344,2346041,2340655.17,1.22,0.0000,0.0022
single-group_errors-at-the-end,2073560,2120326,2082052,2119318,2196524,2208157,2133322.83,1.11,0.0000,0.0022
