seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default,T-test,U-test
default,1328662,1331166,1317792,1340316,1332712,1238360,1314834.67,1.00,1.0000,1.0000
single-group,1362007,1354274,1415492,1374854,1376129,1379400,1377026.00,1.05,0.0058,0.0022
single-group_errors-at-the-end,1113433,1130944,1160714,1175015,1097653,1123171,1133488.33,0.86,0.0000,0.0022
single-group_random-42,1351435,1343096,1349261,1352635,1339208,1324887,1343420.33,1.02,0.1072,0.0411
single-group_random-43,1322105,1327097,1321358,1320253,1331402,1333182,1325899.50,1.01,0.4982,0.9372
single-group_random-44,1330201,1352469,1336781,1335215,1329782,1340892,1337556.67,1.02,0.1849,0.1320
single-group_random-45,1384682,1401461,1384904,1395866,1373844,1390194,1388491.83,1.06,0.0010,0.0022
single-group_random-46,1312955,1313223,1308097,1301228,1310831,1300012,1307724.33,0.99,0.6615,0.0649
